point,rri,ECGshift,PPGGshift
112528,0.728,24,24
112619,0.696,24,24
112706,0.696,24,24
112793,0.704,24,24
112881,0.688,24,24
112967,0.704,24,24
113055,0.712,24,24
113144,0.696,24,24
113231,0.704,24,24
113319,0.696,24,24
113406,0.712,24,24
113495,0.696,24,24
113582,0.712,24,24
113671,0.704,24,24
113759,0.704,24,24
113847,0.696,24,24
113934,0.696,24,24
114021,0.704,24,24
114109,0.696,24,24
114196,0.704,24,24
114284,0.704,24,24
114372,0.704,24,24
114460,0.704,24,24
114548,0.704,24,24
114636,0.712,24,24
114725,0.688,24,24
114811,0.712,24,24
114900,0.704,24,24
114988,0.696,24,24
115075,0.712,24,24
115164,0.704,24,24
115252,0.712,24,24
115341,0.680,24,24
115426,0.576,24,24
115498,0.216,24,24
115525,0.680,24,24
115610,0.648,24,24
115691,0.720,24,24
115781,0.704,24,24
115869,0.696,24,24
115956,0.696,24,24
116043,0.704,24,24
116131,0.704,24,24
116219,0.576,24,24
116291,0.792,24,24
116390,0.728,24,24
116481,0.696,24,24
116568,0.712,24,24
116657,0.712,24,24
116746,0.704,24,24
116834,0.696,24,24
116921,0.712,24,24
117010,0.704,24,24
117098,0.704,24,24
117186,0.704,24,24
117274,0.712,24,24
117363,0.704,24,24
117451,0.712,24,24
117540,0.696,24,24
117627,0.712,24,24
117716,0.696,24,24
117803,0.712,24,24
117892,0.696,24,24
117979,0.712,24,24
118068,0.696,24,24
118155,0.704,24,24
118243,0.712,24,24
118332,0.712,24,24
118421,0.680,24,24
118506,0.712,24,24
118595,0.696,24,24
118682,0.720,24,24
118772,0.696,24,24
118859,0.704,24,24
118947,0.696,24,24
119034,0.696,24,24
119121,0.704,24,24
119209,0.704,24,24
119297,0.704,24,24
119385,0.688,24,24
119471,0.704,24,24
119559,0.720,24,24
119649,0.704,24,24
119737,0.696,24,24
119824,0.712,24,24
119913,0.704,24,24
120001,0.688,24,24
120087,0.696,24,24
120174,0.720,24,24
120264,0.696,24,24
120351,0.704,24,24
120439,0.688,24,24
120525,0.728,24,24
120616,0.688,24,24
120702,0.704,24,24
120790,0.712,24,24
120879,0.696,24,24
120966,0.704,24,24
121054,0.704,24,24
121142,0.704,24,24
121230,0.704,24,24
121318,0.704,24,24
121406,0.696,24,24
121493,0.712,24,24
121582,0.696,24,24
121669,0.704,24,24
121757,0.712,24,24
121846,0.680,24,24
121931,0.728,24,24
122022,0.712,24,24
122111,0.696,24,24
122198,0.704,24,24
122286,0.696,24,24
122373,0.720,24,24
122463,0.696,24,24
122550,0.696,24,24
122637,0.720,24,24
122727,0.704,24,24
122815,0.704,24,24
122903,0.704,24,24
122991,0.696,24,24
123078,0.696,24,24
123165,0.720,24,24
123255,0.688,24,24
123341,0.704,24,24
123429,0.712,24,24
123518,0.704,24,24
123606,0.688,24,24
123692,0.712,24,24
123781,0.704,24,24
123869,0.704,24,24
123957,0.712,24,24
124046,0.696,24,24
124133,0.712,24,24
124222,0.704,24,24
124310,0.680,24,24
124395,0.720,24,24
124485,0.704,24,24
124573,0.704,24,24
124661,0.696,24,24
124748,0.712,24,24
124837,0.712,24,24
124926,0.704,24,24
125014,0.712,24,24
125103,0.688,24,24
125189,0.704,24,24
125277,0.712,24,24
125366,0.680,24,24
125451,0.728,24,24
125542,0.712,24,24
125631,0.712,24,24
125720,0.696,24,24
125807,0.704,24,24
125895,0.712,24,24
125984,0.696,24,24
126071,0.696,24,24
126158,0.720,24,24
126248,0.704,24,24
126336,0.664,24,24
126419,0.728,24,24
126510,0.720,24,24
126600,0.704,24,24
126688,0.704,24,24
126776,0.680,24,24
126861,0.760,24,24
126956,0.672,24,24
127040,0.696,24,24
127127,0.720,24,24
127217,0.696,24,24
127304,0.704,24,24
127392,0.712,24,24
127481,0.688,24,24
127567,0.712,24,24
127656,0.712,24,24
127745,0.704,24,24
127833,0.712,24,24
127922,0.704,24,24
128010,0.696,24,24
128097,0.720,24,24
128187,0.696,24,24
128274,0.712,24,24
128363,0.696,24,24
128450,0.712,24,24
128539,0.712,24,24
128628,0.696,24,24
128715,0.704,24,24
128803,0.720,24,24
128893,0.696,24,24
128980,0.696,24,24
129067,0.704,24,24
129155,0.728,24,24
129246,0.720,24,24
129336,0.696,24,24
129423,0.640,24,24
129503,0.760,24,24
129598,0.712,24,24
129687,0.696,24,24
129774,0.712,24,24
129863,0.712,24,24
129952,0.720,24,24
130042,0.648,24,24
130123,0.760,24,24
130218,0.712,24,24
130307,0.704,24,24
130395,0.704,24,24
130483,0.712,24,24
130572,0.712,24,24
130661,0.704,24,24
130749,0.704,24,24
130837,0.704,24,24
130925,0.712,24,24
131014,0.680,24,24
131099,0.736,24,24
131191,0.712,24,24
131280,0.696,24,24
131367,0.712,24,24
131456,0.696,24,24
131543,0.720,24,24
131633,0.712,24,24
131722,0.696,24,24
131809,0.720,24,24
131899,0.704,24,24
131987,0.704,24,24
132075,0.680,24,24
132160,0.744,24,24
132253,0.704,24,24
132341,0.704,24,24
132429,0.704,24,24
132517,0.720,24,24
132607,0.696,24,24
132694,0.712,24,24
132783,0.712,24,24
132872,0.696,24,24
132959,0.720,24,24
133049,0.712,24,24
133138,0.704,24,24
133226,0.712,24,24
133315,0.704,24,24
133403,0.696,24,24
133490,0.696,24,24
133577,0.720,24,24
133667,0.720,24,24
133757,0.704,24,24
133845,0.720,24,24
133935,0.696,24,24
134022,0.704,24,24
134110,0.720,24,24
134200,0.664,24,24
134283,0.752,24,24
134377,0.704,24,24
134465,0.704,24,24
134553,0.704,24,24
134641,0.720,24,24
134731,0.704,24,24
134819,0.712,24,24
134908,0.720,24,24
134998,0.696,24,24
135085,0.720,24,24
135175,0.680,24,24
135260,0.728,24,24
135351,0.696,24,24
135438,0.712,24,24
135527,0.712,24,24
135616,0.712,24,24
135705,0.608,24,24
135781,0.768,24,24
135877,0.736,24,24
135969,0.696,24,24
136056,0.712,24,24
136145,0.696,24,24
136232,0.736,24,24
136324,0.696,24,24
136411,0.712,24,24
136500,0.712,24,24
136589,0.704,24,24
136677,0.728,24,24
136768,0.688,24,24
136854,0.704,24,24
136942,0.720,24,24
137032,0.696,24,24
137119,0.712,24,24
137208,0.704,24,24
137296,0.720,24,24
137386,0.704,24,24
137474,0.720,24,24
137564,0.712,24,24
137653,0.688,24,24
137739,0.712,24,24
137828,0.728,24,24
137919,0.696,24,24
138006,0.712,24,24
138095,0.696,24,24
138182,0.728,24,24
138273,0.696,24,24
138360,0.728,24,24
138451,0.680,24,24
138536,0.728,24,24
138627,0.728,24,24
138718,0.680,24,24
138803,0.728,24,24
138894,0.712,24,24
138983,0.680,24,24
139068,0.736,24,24
139160,0.720,24,24
139250,0.728,24,24
139341,0.704,24,24
139429,0.712,24,24
139518,0.712,24,24
139607,0.704,24,24
139695,0.712,24,24
139784,0.720,24,24
139874,0.704,24,24
139962,0.712,24,24
140051,0.696,24,24
140138,0.720,24,24
140228,0.720,24,24
140318,0.704,24,24
140406,0.704,24,24
