'sample interval','PLETH','I'
'0.008 sec','mV','mV'
112501,-0.50750000,-0.08525105
112502,-0.50750000,-0.07949791
112503,-0.50750000,-0.09100418
112504,-0.50750000,-0.08786611
112505,-0.50750000,-0.08525105
112506,-0.50750000,-0.08211297
112507,-0.50750000,-0.09675732
112508,-0.50750000,-0.07374477
112509,-0.50500000,-0.05334728
112510,-0.50200000,-0.03608787
112511,-0.49200000,-0.06223849
112512,-0.47900000,-0.05910042
112513,-0.46050000,-0.03922594
112514,-0.42950000,-0.03347280
112515,-0.38800000,-0.01307531
112516,-0.33300000,0.00104603
112517,-0.26800000,0.00104603
112518,-0.19250000,0.00104603
112519,-0.10700000,0.00104603
112520,-0.01550000,-0.00156904
112521,0.07800000,-0.00732218
112522,0.16650000,0.00104603
112523,0.25200000,0.00104603
112524,0.32750000,0.00104603
112525,0.39000000,-0.01046025
112526,0.44450000,-0.01046025
112527,0.48100000,-0.00156904
112528,0.51000000,-0.02196653
112529,0.52550000,-0.03033473
112530,0.53050000,-0.03347280
112531,0.52300000,-0.03347280
112532,0.51000000,-0.02458159
112533,0.48900000,-0.03347280
112534,0.45800000,-0.03347280
112535,0.42150000,-0.01046025
112536,0.38500000,0.00104603
112537,0.33550000,-0.00732218
112538,0.28600000,-0.02196653
112539,0.23400000,-0.00470711
112540,0.17950000,-0.01621339
112541,0.12500000,-0.01046025
112542,0.07000000,0.00104603
112543,0.01550000,-0.00470711
112544,-0.03400000,0.00941423
112545,-0.08600000,-0.00156904
112546,-0.13000000,-0.02458159
112547,-0.17450000,0.19560669
112548,-0.21850000,0.56851464
112549,-0.25500000,0.64592050
112550,-0.28900000,0.49372385
112551,-0.32250000,0.28138075
112552,-0.35150000,0.14696653
112553,-0.37750000,0.04654812
112554,-0.40350000,-0.05073222
112555,-0.42150000,-0.09937238
112556,-0.44000000,-0.12552301
112557,-0.45800000,-0.13702929
112558,-0.47350000,-0.13389121
112559,-0.48400000,-0.12238494
112560,-0.49200000,-0.11401674
112561,-0.49950000,-0.09937238
112562,-0.50750000,-0.08525105
112563,-0.51250000,-0.09100418
112564,-0.51250000,-0.10512552
112565,-0.51800000,-0.10826360
112566,-0.52050000,-0.10251046
112567,-0.52300000,-0.10251046
112568,-0.52550000,-0.09675732
112569,-0.52550000,-0.08211297
112570,-0.52800000,-0.07374477
112571,-0.52800000,-0.07060669
112572,-0.53100000,-0.06799163
112573,-0.53350000,-0.06485356
112574,-0.53600000,-0.05334728
112575,-0.53100000,-0.05648536
112576,-0.53100000,-0.05648536
112577,-0.52550000,-0.05648536
112578,-0.52300000,-0.04184100
112579,-0.51000000,-0.03347280
112580,-0.48900000,-0.03347280
112581,-0.46300000,-0.03922594
112582,-0.42400000,-0.05648536
112583,-0.37750000,-0.05648536
112584,-0.32000000,-0.05073222
112585,-0.25000000,-0.03347280
112586,-0.17450000,-0.03608787
112587,-0.09400000,-0.03347280
112588,-0.01300000,-0.02458159
112589,0.06750000,-0.01307531
112590,0.14300000,0.00104603
112591,0.21300000,0.00104603
112592,0.27050000,0.02353556
112593,0.32000000,0.02615063
112594,0.35650000,0.02615063
112595,0.37950000,0.00889121
112596,0.39000000,0.00104603
112597,0.39800000,0.00104603
112598,0.38750000,0.01202929
112599,0.37450000,-0.01046025
112600,0.34600000,-0.03347280
112601,0.31750000,-0.03347280
112602,0.27800000,-0.03347280
112603,0.23650000,-0.03608787
112604,0.19250000,-0.03347280
112605,0.14550000,-0.02771967
112606,0.09100000,-0.02771967
112607,0.03900000,-0.02196653
112608,-0.00800000,-0.02196653
112609,-0.06000000,-0.01046025
112610,-0.11200000,-0.01046025
112611,-0.15600000,0.00627615
112612,-0.20000000,0.03190377
112613,-0.24200000,0.01202929
112614,-0.28150000,0.01464435
112615,-0.31850000,0.01464435
112616,-0.35000000,0.00627615
112617,-0.37900000,0.16108787
112618,-0.40500000,0.53661088
112619,-0.43400000,0.69142259
112620,-0.45250000,0.53661088
112621,-0.47100000,0.32165272
112622,-0.48700000,0.15271967
112623,-0.50550000,0.05230126
112624,-0.51600000,-0.03922594
112625,-0.52650000,-0.09675732
112626,-0.53700000,-0.11087866
112627,-0.54200000,-0.10512552
112628,-0.54750000,-0.10251046
112629,-0.55000000,-0.10251046
112630,-0.55550000,-0.10251046
112631,-0.56050000,-0.09361925
112632,-0.55800000,-0.08786611
112633,-0.56050000,-0.07635983
112634,-0.56300000,-0.06799163
112635,-0.56300000,-0.05910042
112636,-0.56300000,-0.05334728
112637,-0.56300000,-0.05073222
112638,-0.56050000,-0.07635983
112639,-0.56050000,-0.07635983
112640,-0.55800000,-0.06799163
112641,-0.55800000,-0.06799163
112642,-0.55800000,-0.06799163
112643,-0.55550000,-0.05910042
112644,-0.55550000,-0.05648536
112645,-0.55250000,-0.06223849
112646,-0.55550000,-0.03922594
112647,-0.55250000,-0.01882845
112648,-0.54450000,-0.02458159
112649,-0.53150000,-0.00470711
112650,-0.51050000,0.00104603
112651,-0.48400000,0.00104603
112652,-0.44200000,-0.00470711
112653,-0.38700000,0.00104603
112654,-0.32350000,0.00104603
112655,-0.24450000,0.00627615
112656,-0.16050000,0.02928870
112657,-0.06550000,0.03504184
112658,0.02650000,0.00366109
112659,0.11600000,0.00104603
112660,0.20300000,0.00104603
112661,0.27950000,-0.00156904
112662,0.34800000,0.00104603
112663,0.39800000,0.00104603
112664,0.43750000,-0.00470711
112665,0.46350000,0.00941423
112666,0.47950000,0.02353556
112667,0.47950000,0.00627615
112668,0.47150000,0.00104603
112669,0.45300000,0.00104603
112670,0.42700000,0.00104603
112671,0.39250000,0.00104603
112672,0.35300000,0.00104603
112673,0.30850000,0.00104603
112674,0.26100000,0.00104603
112675,0.20800000,0.00627615
112676,0.16250000,0.00052301
112677,0.10650000,-0.02771967
112678,0.05300000,-0.00156904
112679,-0.00550000,-0.02196653
112680,-0.05850000,-0.05910042
112681,-0.11200000,0.09257322
112682,-0.16000000,0.46234310
112683,-0.20500000,0.55962343
112684,-0.25050000,0.43671548
112685,-0.29050000,0.27876569
112686,-0.32500000,0.16422594
112687,-0.36000000,0.06956067
112688,-0.38650000,-0.01882845
112689,-0.41550000,-0.06799163
112690,-0.43450000,-0.07374477
112691,-0.45300000,-0.07060669
112692,-0.47150000,-0.06799163
112693,-0.48250000,-0.06799163
112694,-0.49550000,-0.07060669
112695,-0.50650000,-0.08211297
112696,-0.51450000,-0.08525105
112697,-0.51950000,-0.08211297
112698,-0.53050000,-0.07060669
112699,-0.53300000,-0.06223849
112700,-0.53550000,-0.05334728
112701,-0.54100000,-0.06799163
112702,-0.54350000,-0.05910042
112703,-0.54600000,-0.05648536
112704,-0.54600000,-0.04759414
112705,-0.54900000,-0.05073222
112706,-0.54900000,-0.03347280
112707,-0.54600000,-0.02458159
112708,-0.54900000,-0.01882845
112709,-0.54900000,-0.03347280
112710,-0.54600000,-0.03347280
112711,-0.54600000,-0.02196653
112712,-0.54350000,-0.00156904
112713,-0.53850000,-0.00156904
112714,-0.53050000,0.00366109
112715,-0.51700000,0.00889121
112716,-0.49300000,-0.00732218
112717,-0.46100000,-0.01307531
112718,-0.42100000,-0.00156904
112719,-0.37550000,-0.00156904
112720,-0.31450000,-0.00156904
112721,-0.25050000,-0.00156904
112722,-0.17600000,0.00104603
112723,-0.10150000,-0.00470711
112724,-0.02700000,0.00104603
112725,0.05050000,0.00104603
112726,0.11700000,0.00104603
112727,0.17300000,0.00104603
112728,0.21550000,0.00104603
112729,0.25300000,-0.00470711
112730,0.27450000,0.00104603
112731,0.28500000,-0.00732218
112732,0.28750000,-0.00732218
112733,0.27450000,0.00104603
112734,0.25550000,0.00104603
112735,0.22650000,0.00104603
112736,0.19450000,-0.01046025
112737,0.15150000,-0.01046025
112738,0.10900000,-0.01307531
112739,0.06100000,0.00104603
112740,0.02400000,0.00104603
112741,-0.02650000,0.00104603
112742,-0.07400000,0.00104603
112743,-0.12150000,0.00366109
112744,-0.16700000,0.02353556
112745,-0.21200000,0.02615063
112746,-0.25700000,0.02353556
112747,-0.29400000,0.03190377
112748,-0.33100000,0.02039749
112749,-0.36000000,0.00889121
112750,-0.38900000,0.00627615
112751,-0.41550000,0.00104603
112752,-0.43950000,0.00104603
112753,-0.45800000,0.00104603
112754,-0.47150000,-0.00156904
112755,-0.48700000,-0.01882845
112756,-0.50300000,-0.02196653
112757,-0.51350000,-0.01621339
112758,-0.52450000,-0.01307531
112759,-0.53500000,-0.01882845
112760,-0.53750000,-0.01882845
112761,-0.54300000,-0.01621339
112762,-0.55100000,-0.05073222
112763,-0.55100000,0.02092050
112764,-0.55100000,0.34466527
112765,-0.55100000,0.58577406
112766,-0.55100000,0.50784519
112767,-0.54800000,0.34466527
