'sample interval','PLETH','II'
'0.008 sec','mV','mV'
112501,0.43000000,0.11334405
112502,0.42550000,0.11897106
112503,0.41250000,0.11736334
112504,0.40000000,0.10852090
112505,0.38250000,0.10771704
112506,0.36100000,0.11977492
112507,0.33100000,0.13102894
112508,0.30100000,0.13424437
112509,0.27100000,0.12620579
112510,0.23650000,0.11736334
112511,0.20200000,0.11736334
112512,0.17200000,0.11334405
112513,0.14200000,0.09967846
112514,0.10750000,0.08762058
112515,0.08200000,0.08199357
112516,0.05600000,0.07315113
112517,0.03450000,0.06109325
112518,0.01300000,0.06109325
112519,-0.00400000,0.06913183
112520,-0.02150000,0.06752412
112521,-0.03400000,0.06189711
112522,-0.05150000,0.06028939
112523,-0.06850000,0.05466238
112524,-0.08600000,0.04662379
112525,-0.09850000,0.04983923
112526,-0.12000000,0.06109325
112527,-0.13750000,0.08038585
112528,-0.15450000,0.10530547
112529,-0.17600000,0.13022508
112530,-0.18900000,0.15032154
112531,-0.20200000,0.15755627
112532,-0.22350000,0.15836013
112533,-0.23200000,0.16720257
112534,-0.25350000,0.19212219
112535,-0.26600000,0.20337621
112536,-0.27900000,0.18810289
112537,-0.29650000,0.16157556
112538,-0.31350000,0.13183280
112539,-0.33050000,0.09726688
112540,-0.35200000,0.06672026
112541,-0.36500000,0.04099678
112542,-0.38200000,0.02572347
112543,-0.39950000,0.02411576
112544,-0.42100000,0.02250804
112545,-0.42950000,0.01366559
112546,-0.44650000,0.05546624
112547,-0.45550000,0.26607717
112548,-0.46400000,0.68247588
112549,-0.47250000,1.11334405
112550,-0.48100000,1.17524116
112551,-0.48550000,0.73954984
112552,-0.48950000,0.23392283
112553,-0.48950000,0.02813505
112554,-0.48950000,0.01688103
112555,-0.49400000,0.02572347
112556,-0.48950000,0.02974277
112557,-0.48950000,0.03376206
112558,-0.48950000,0.03697749
112559,-0.48100000,0.03617363
112560,-0.48100000,0.03456592
112561,-0.48100000,0.03215434
112562,-0.47250000,0.03697749
112563,-0.47250000,0.04340836
112564,-0.46800000,0.04662379
112565,-0.47250000,0.05225080
112566,-0.46800000,0.05707395
112567,-0.47250000,0.05466238
112568,-0.46800000,0.05225080
112569,-0.46800000,0.06109325
112570,-0.46800000,0.07717042
112571,-0.46800000,0.09003215
112572,-0.47250000,0.09646302
112573,-0.47250000,0.10209003
112574,-0.46400000,0.11977492
112575,-0.46400000,0.14871383
112576,-0.45550000,0.17524116
112577,-0.45100000,0.19051447
112578,-0.42550000,0.20257235
112579,-0.40400000,0.22266881
112580,-0.38250000,0.25401929
112581,-0.35250000,0.28536977
112582,-0.31800000,0.31832797
112583,-0.27050000,0.34887460
112584,-0.21900000,0.37540193
112585,-0.16350000,0.39951768
112586,-0.09450000,0.42202572
112587,-0.02600000,0.44372990
112588,0.05150000,0.45578778
112589,0.12050000,0.46302251
112590,0.18500000,0.46945338
112591,0.24900000,0.47186495
112592,0.30100000,0.45819936
112593,0.34800000,0.44051447
112594,0.38650000,0.42524116
112595,0.41700000,0.40434084
112596,0.44700000,0.36977492
112597,0.46400000,0.32636656
112598,0.48100000,0.29421222
112599,0.48550000,0.26929260
112600,0.49850000,0.23713826
112601,0.49850000,0.19774920
112602,0.49850000,0.16077170
112603,0.49850000,0.12299035
112604,0.49400000,0.08842444
112605,0.49400000,0.06672026
112606,0.49400000,0.04742765
112607,0.49000000,0.03215434
112608,0.49400000,0.02491961
112609,0.48550000,0.02250804
112610,0.48550000,0.02170418
112611,0.47700000,0.01688103
112612,0.46000000,0.01125402
112613,0.45100000,0.00482315
112614,0.42550000,-0.00562701
112615,0.40800000,-0.01446945
112616,0.37400000,-0.02411576
112617,0.34350000,-0.03697749
112618,0.31800000,-0.05064309
112619,0.28350000,-0.06189711
112620,0.25350000,-0.07636656
112621,0.21900000,-0.09485531
112622,0.19350000,-0.11173633
112623,0.15900000,-0.12379421
112624,0.13300000,-0.12700965
112625,0.10300000,-0.13987138
112626,0.08150000,-0.15112540
112627,0.05600000,-0.16157556
112628,0.03000000,-0.17684887
112629,0.01700000,-0.19292605
112630,-0.00450000,-0.19453376
112631,-0.02150000,-0.19453376
112632,-0.04300000,-0.20257235
112633,-0.05600000,-0.21704180
112634,-0.07300000,-0.23231511
112635,-0.08150000,-0.23633441
112636,-0.09900000,-0.23311897
112637,-0.11150000,-0.22347267
112638,-0.12900000,-0.20659164
112639,-0.14600000,-0.19453376
112640,-0.15900000,-0.19694534
112641,-0.17600000,-0.20337621
112642,-0.17750000,-0.20337621
112643,-0.19050000,-0.19051447
112644,-0.21300000,-0.17765273
112645,-0.22600000,-0.18890675
112646,-0.23950000,-0.22106109
112647,-0.25700000,-0.24598071
112648,-0.26600000,-0.26527331
112649,-0.27950000,-0.29742765
112650,-0.29250000,-0.33601286
112651,-0.30150000,-0.35852090
112652,-0.31500000,-0.36575563
112653,-0.32350000,-0.37700965
112654,-0.33700000,-0.40675241
112655,-0.34150000,-0.40836013
112656,-0.35050000,-0.26446945
112657,-0.35500000,0.08118971
112658,-0.36350000,0.51205788
112659,-0.36800000,0.71221865
112660,-0.37250000,0.41881029
112661,-0.37700000,-0.11254019
112662,-0.38150000,-0.41800643
112663,-0.37700000,-0.45739550
112664,-0.37700000,-0.43247588
112665,-0.37700000,-0.42363344
112666,-0.37250000,-0.41800643
112667,-0.37700000,-0.41961415
112668,-0.37250000,-0.41881029
112669,-0.36800000,-0.41800643
112670,-0.35900000,-0.41800643
112671,-0.35900000,-0.41720257
112672,-0.35050000,-0.41237942
112673,-0.34600000,-0.41157556
112674,-0.33700000,-0.41157556
112675,-0.33250000,-0.41639871
112676,-0.32800000,-0.41800643
112677,-0.32350000,-0.41479100
112678,-0.32800000,-0.40353698
112679,-0.32350000,-0.39630225
112680,-0.32800000,-0.38826367
112681,-0.33250000,-0.38022508
112682,-0.32800000,-0.37299035
112683,-0.33250000,-0.36173633
112684,-0.33250000,-0.34163987
112685,-0.32800000,-0.31832797
112686,-0.31950000,-0.29742765
112687,-0.31500000,-0.28536977
112688,-0.29700000,-0.27009646
112689,-0.27500000,-0.24196141
112690,-0.24850000,-0.20900322
112691,-0.20400000,-0.17604502
112692,-0.15950000,-0.14228296
112693,-0.10200000,-0.10289389
112694,-0.03550000,-0.07154341
112695,0.03150000,-0.05144695
112696,0.10250000,-0.04099678
112697,0.17750000,-0.03215434
112698,0.24850000,-0.01527331
112699,0.30650000,-0.00080386
112700,0.36400000,0.00160772
112701,0.41300000,-0.00401929
112702,0.45750000,-0.01446945
112703,0.48850000,-0.02893891
112704,0.50600000,-0.04742765
112705,0.52850000,-0.07395498
112706,0.54600000,-0.10771704
112707,0.55050000,-0.13665595
112708,0.56400000,-0.16479100
112709,0.56800000,-0.19614148
112710,0.57250000,-0.22749196
112711,0.57250000,-0.26045016
112712,0.56800000,-0.28778135
112713,0.56800000,-0.30627010
112714,0.56400000,-0.33199357
112715,0.56400000,-0.35691318
112716,0.55050000,-0.37218650
112717,0.54600000,-0.38585209
112718,0.53700000,-0.39469453
112719,0.52400000,-0.40032154
112720,0.51050000,-0.40836013
112721,0.49300000,-0.41720257
112722,0.47050000,-0.41479100
112723,0.44850000,-0.41157556
112724,0.41750000,-0.41157556
112725,0.38200000,-0.41479100
112726,0.35100000,-0.42604502
112727,0.31100000,-0.43729904
112728,0.26650000,-0.44453376
112729,0.21750000,-0.44935691
112730,0.17750000,-0.45659164
112731,0.13800000,-0.46784566
112732,0.09800000,-0.47909968
112733,0.06700000,-0.49115756
112734,0.03150000,-0.50321543
112735,-0.00400000,-0.51366559
112736,-0.02650000,-0.52090032
112737,-0.05300000,-0.52411576
112738,-0.07100000,-0.53135048
112739,-0.09300000,-0.53858521
112740,-0.10650000,-0.54099678
112741,-0.12850000,-0.54180064
112742,-0.15050000,-0.54983923
112743,-0.16400000,-0.55868167
112744,-0.18600000,-0.55546624
112745,-0.20400000,-0.54421222
112746,-0.22150000,-0.53215434
112747,-0.23950000,-0.52009646
112748,-0.26600000,-0.50643087
112749,-0.28400000,-0.49919614
112750,-0.31500000,-0.49437299
112751,-0.34150000,-0.48472669
112752,-0.36350000,-0.47106109
112753,-0.37700000,-0.45980707
112754,-0.39900000,-0.47106109
112755,-0.42150000,-0.49437299
112756,-0.43000000,-0.51768489
112757,-0.44350000,-0.54662379
112758,-0.45700000,-0.57877814
112759,-0.46150000,-0.61093248
112760,-0.47000000,-0.62861736
112761,-0.47000000,-0.64389068
112762,-0.47000000,-0.65434084
112763,-0.47900000,-0.67443730
112764,-0.47900000,-0.65353698
112765,-0.47450000,-0.48472669
112766,-0.47900000,-0.11897106
112767,-0.47900000,0.31591640
112768,-0.47450000,0.48713826
112769,-0.47000000,0.15112540
112770,-0.52250000,-0.38826367
112771,-0.51800000,-0.66881029
112772,-0.50850000,-0.68810289
112773,-0.49950000,-0.66157556
112774,-0.48550000,-0.65755627
112775,-0.47600000,-0.65836013
112776,-0.46700000,-0.65192926
112777,-0.44850000,-0.65434084
112778,-0.44400000,-0.66479100
112779,-0.43000000,-0.65916399
112780,-0.41150000,-0.64389068
112781,-0.40200000,-0.63745981
112782,-0.38850000,-0.63504823
112783,-0.37450000,-0.63183280
112784,-0.36500000,-0.62861736
112785,-0.35600000,-0.61816720
112786,-0.34650000,-0.60048232
112787,-0.33750000,-0.58842444
112788,-0.32800000,-0.59083601
112789,-0.32350000,-0.59405145
112790,-0.31450000,-0.59163987
112791,-0.30500000,-0.57636656
112792,-0.29600000,-0.55305466
112793,-0.29100000,-0.52652733
112794,-0.28200000,-0.50000000
112795,-0.26800000,-0.47347267
112796,-0.26350000,-0.44694534
112797,-0.25900000,-0.42041801
112798,-0.24050000,-0.39067524
112799,-0.21700000,-0.35691318
112800,-0.18500000,-0.32395498
112801,-0.14800000,-0.29019293
112802,-0.10150000,-0.25964630
112803,-0.04600000,-0.22990354
112804,0.00950000,-0.20337621
112805,0.07400000,-0.17684887
112806,0.14350000,-0.16398714
112807,0.21300000,-0.15675241
112808,0.26850000,-0.14790997
112809,0.32400000,-0.14790997
112810,0.37500000,-0.15594855
112811,0.41650000,-0.16720257
112812,0.44900000,-0.18006431
112813,0.47200000,-0.19453376
112814,0.48100000,-0.21784566
112815,0.48100000,-0.24437299
112816,0.48100000,-0.27652733
112817,0.47650000,-0.30546624
112818,0.46250000,-0.33681672
112819,0.43950000,-0.36575563
112820,0.42100000,-0.39389068
112821,0.39800000,-0.42202572
112822,0.37500000,-0.44694534
112823,0.35150000,-0.46945338
112824,0.32850000,-0.48392283
112825,0.31000000,-0.49678457
112826,0.29600000,-0.51045016
112827,0.27750000,-0.52009646
112828,0.26400000,-0.52090032
112829,0.25000000,-0.52652733
112830,0.23600000,-0.53135048
112831,0.22200000,-0.52893891
112832,0.21300000,-0.51929260
112833,0.19450000,-0.52090032
112834,0.16650000,-0.53135048
112835,0.13450000,-0.53858521
112836,0.10650000,-0.54099678
112837,0.07400000,-0.54180064
112838,0.03250000,-0.54180064
112839,0.00000000,-0.54983923
112840,-0.03700000,-0.56430868
112841,-0.07400000,-0.57958199
112842,-0.10150000,-0.58762058
112843,-0.12950000,-0.59807074
112844,-0.15700000,-0.61414791
112845,-0.18000000,-0.62218650
112846,-0.19400000,-0.61816720
112847,-0.21250000,-0.61575563
112848,-0.22650000,-0.62540193
