'sample interval','PLETH ','II '
'0.008 sec','mV','mV'
112501,0.63200000,-0.31012250
112502,0.60500000,-0.32430690
112503,0.57050000,-0.33462282
112504,0.52750000,-0.34880722
112505,0.47750000,-0.34880722
112506,0.42700000,-0.34171502
112507,0.37350000,-0.35267569
112508,0.32500000,-0.33849130
112509,0.27650000,-0.32430690
112510,0.23050000,-0.31012250
112511,0.18850000,-0.29593810
112512,0.14800000,-0.29206963
112513,0.10850000,-0.28175371
112514,0.07250000,-0.28175371
112515,0.03700000,-0.26756931
112516,0.00500000,-0.25338491
112517,-0.02650000,-0.25338491
112518,-0.05700000,-0.25338491
112519,-0.08650000,-0.26047711
112520,-0.11450000,-0.32430690
112521,-0.14100000,-0.45132173
112522,-0.16800000,-0.57833656
112523,-0.19200000,-0.71308833
112524,-0.21500000,-0.81173436
112525,-0.23650000,-0.78336557
112526,-0.25350000,-0.74854932
112527,-0.26750000,-0.70599613
112528,-0.27500000,-0.70212766
112529,-0.28150000,-0.69181173
112530,-0.28000000,-0.63120567
112531,-0.27500000,-0.53255964
112532,-0.26850000,-0.40876854
112533,-0.25850000,-0.31012250
112534,-0.24950000,-0.23920052
112535,-0.23950000,-0.18246293
112536,-0.22900000,-0.10122502
112537,-0.22400000,-0.03417150
112538,-0.21750000,0.00773694
112539,-0.21500000,0.03223727
112540,-0.21100000,0.04319794
112541,-0.21000000,0.04319794
112542,-0.20850000,0.05738233
112543,-0.20850000,0.08188266
112544,-0.20850000,0.08897485
112545,-0.21000000,0.08575113
112546,-0.21500000,0.08897485
112547,-0.22150000,0.10315925
112548,-0.23050000,0.11734365
112549,-0.24050000,0.11025145
112550,-0.25050000,0.11411992
112551,-0.26350000,0.11411992
112552,-0.37800000,0.11411992
112553,-0.38750000,0.09606705
112554,-0.39250000,0.08575113
112555,-0.39100000,0.07156673
112556,-0.37950000,0.06769826
112557,-0.35700000,0.04319794
112558,-0.32550000,0.03223727
112559,-0.27850000,0.00773694
112560,-0.22050000,0.00128949
112561,-0.15250000,0.00128949
112562,-0.07350000,-0.01998711
112563,0.01050000,-0.02321083
112564,0.09700000,-0.01998711
112565,0.17950000,-0.01289491
112566,0.25700000,-0.00580271
112567,0.32300000,-0.00902643
112568,0.37900000,-0.01289491
112569,0.42000000,0.00128949
112570,0.44500000,0.00128949
112571,0.45950000,-0.01289491
112572,0.46050000,-0.05157963
112573,0.44750000,-0.06254030
112574,0.42650000,-0.08704062
112575,0.39500000,-0.09090909
112576,0.35700000,-0.11540941
112577,0.31250000,-0.11218569
112578,0.26250000,-0.10509349
112579,0.20750000,-0.10122502
112580,0.14950000,-0.11218569
112581,0.09200000,-0.09800129
112582,0.03150000,-0.09800129
112583,-0.02500000,-0.09413282
112584,-0.08300000,-0.08704062
112585,-0.13550000,-0.07994842
112586,-0.18400000,-0.09090909
112587,-0.23000000,-0.09800129
112588,-0.27450000,-0.08381689
112589,-0.31500000,-0.07994842
112590,-0.35700000,-0.08381689
112591,-0.39500000,-0.08381689
112592,-0.43050000,-0.08381689
112593,-0.46600000,-0.10122502
112594,-0.49750000,-0.19342360
112595,-0.52750000,-0.31012250
112596,-0.55650000,-0.44036106
112597,-0.58150000,-0.57511283
112598,-0.60400000,-0.62088975
112599,-0.62600000,-0.58929723
112600,-0.64600000,-0.56802063
112601,-0.66400000,-0.57188910
112602,-0.68000000,-0.57898130
112603,-0.69550000,-0.56479691
112604,-0.70750000,-0.48678272
112605,-0.72050000,-0.37330754
112606,-0.73100000,-0.24242424
112607,-0.74050000,-0.16183108
112608,-0.74700000,-0.10509349
112609,-0.75350000,-0.04448743
112610,-0.75850000,0.02901354
112611,-0.76150000,0.08575113
112612,-0.76150000,0.11411992
112613,-0.76150000,0.12830432
112614,-0.75850000,0.14248872
112615,-0.76000000,0.15667311
112616,-0.76000000,0.15667311
112617,-0.76400000,0.17408124
112618,-0.76900000,0.18504191
112619,-0.77450000,0.19922631
112620,-0.78100000,0.21276596
112621,-0.78600000,0.21276596
112622,-0.79250000,0.21276596
112623,-0.79750000,0.21276596
112624,-0.79900000,0.21276596
112625,-0.79750000,0.22308188
112626,-0.79250000,0.21276596
112627,-0.78600000,0.20889749
112628,-0.77200000,0.18504191
112629,-0.75350000,0.16698904
112630,-0.72800000,0.14571244
112631,-0.69400000,0.14248872
112632,-0.65150000,0.12121212
112633,-0.60250000,0.11734365
112634,-0.54150000,0.08897485
112635,-0.47450000,0.07479046
112636,-0.40050000,0.06769826
112637,-0.31900000,0.07156673
112638,-0.23650000,0.06769826
112639,-0.15250000,0.06769826
112640,-0.06850000,0.07156673
112641,0.01200000,0.07479046
112642,0.08550000,0.07156673
112643,0.14750000,0.07479046
112644,0.19400000,0.07156673
112645,0.22650000,0.06447453
112646,0.24600000,0.02192134
112647,0.24850000,0.00451322
112648,0.23950000,0.00128949
112649,0.22100000,-0.01611863
112650,0.19650000,-0.01998711
112651,0.16700000,-0.01289491
112652,0.13600000,-0.01289491
112653,0.10250000,-0.02321083
112654,0.06850000,-0.02707930
112655,0.03500000,-0.00902643
112656,0.00000000,0.00128949
112657,-0.03500000,0.00128949
112658,-0.07100000,0.00128949
112659,-0.10600000,0.00128949
112660,-0.14100000,0.00128949
112661,-0.17450000,0.01096067
112662,-0.20800000,0.01482914
112663,-0.23900000,0.00128949
112664,-0.26750000,0.00128949
112665,-0.29600000,0.00128949
112666,-0.31900000,0.00128949
112667,-0.34100000,-0.03417150
112668,-0.36050000,-0.12637008
112669,-0.37600000,-0.25338491
112670,-0.38900000,-0.38039974
112671,-0.40200000,-0.49709865
112672,-0.41750000,-0.55061251
112673,-0.43450000,-0.52224371
112674,-0.45100000,-0.47969052
112675,-0.46650000,-0.45454545
112676,-0.48100000,-0.45841393
112677,-0.49250000,-0.40876854
112678,-0.49900000,-0.33462282
112679,-0.50150000,-0.22501612
112680,-0.45550000,-0.11927789
112681,-0.44550000,-0.00902643
112682,-0.43300000,0.01482914
112683,-0.41750000,0.07865893
112684,-0.40350000,0.16376531
112685,-0.39100000,0.23017408
112686,-0.38050000,0.25854288
112687,-0.37550000,0.28691167
112688,-0.37050000,0.28368794
112689,-0.36800000,0.27272727
112690,-0.36550000,0.29078014
112691,-0.36150000,0.30496454
112692,-0.35650000,0.31914894
112693,-0.34600000,0.32624113
112694,-0.33350000,0.34042553
112695,-0.32200000,0.33655706
112696,-0.30650000,0.34364926
