'sample interval','PLETH','V'
'0.008 sec','mV','mV'
112501,0.37800000,0.00506329
112502,0.38300000,0.00506329
112503,0.38200000,0.00506329
112504,0.37400000,0.00506329
112505,0.35950000,0.28101266
112506,0.33850000,0.05822785
112507,0.31300000,-0.05063291
112508,0.28300000,-0.10632911
112509,0.25000000,-0.07848101
112510,0.21600000,-0.03544304
112511,0.18150000,0.00506329
112512,0.14850000,0.00506329
112513,0.11550000,0.00506329
112514,0.08400000,0.00506329
112515,0.05450000,0.00506329
112516,0.02550000,0.00506329
112517,-0.00200000,0.00506329
112518,-0.02900000,0.00506329
112519,-0.05400000,0.00506329
112520,-0.07900000,0.00506329
112521,-0.10400000,0.00506329
112522,-0.12650000,0.00506329
112523,-0.14600000,0.00506329
112524,-0.16600000,0.00506329
112525,-0.18300000,0.00506329
112526,-0.19800000,0.00506329
112527,-0.21100000,0.00506329
112528,-0.22250000,0.00506329
112529,-0.23200000,0.00506329
112530,-0.24100000,0.00506329
112531,-0.24900000,0.00506329
112532,-0.25550000,0.00506329
112533,-0.26250000,0.00506329
112534,-0.26800000,-0.09113924
112535,-0.27450000,-0.50886076
112536,-0.28050000,-1.13417722
112537,-0.28600000,-1.71645570
112538,-0.29150000,-2.10632911
112539,-0.29550000,-2.34177215
112540,-0.30050000,-2.42278481
112541,-0.30500000,-2.28607595
112542,-0.30850000,-1.92405063
112543,-0.31350000,-1.45316456
112544,-0.31650000,-1.09113924
112545,-0.32150000,-0.70379747
112546,-0.32600000,-0.35696203
112547,-0.33100000,-0.06329114
112548,-0.33600000,0.04303797
112549,-0.34150000,0.15443038
112550,-0.34650000,0.25316456
112551,-0.35100000,0.33670886
112552,-0.35650000,0.39240506
112553,-0.36000000,0.39240506
112554,-0.36500000,0.42025316
112555,-0.36800000,0.44810127
112556,-0.37100000,0.50379747
112557,-0.37350000,0.53164557
112558,-0.37500000,0.60000000
112559,-0.37500000,0.65569620
112560,-0.37350000,0.73924051
112561,-0.37100000,0.82025316
112562,-0.36500000,0.91898734
112563,-0.35600000,0.98734177
112564,-0.34400000,1.07088608
112565,-0.32800000,1.11392405
112566,-0.30500000,1.11392405
112567,-0.27800000,1.11392405
112568,-0.24350000,1.04303797
112569,-0.20400000,0.95949367
112570,-0.15950000,0.84810127
112571,-0.11150000,0.71139241
112572,-0.06150000,0.58734177
112573,-0.01150000,0.47594937
112574,0.03750000,0.37721519
112575,0.08350000,0.30886076
112576,0.12700000,0.26582278
112577,0.16650000,0.22531646
112578,0.20250000,0.16962025
112579,0.23400000,0.16962025
112580,0.26350000,0.16962025
112581,0.29000000,0.16962025
112582,0.31300000,0.16962025
112583,0.33150000,0.16962025
112584,0.34500000,0.16962025
112585,0.35300000,0.16962025
112586,0.35450000,0.16962025
112587,0.34750000,0.16962025
112588,0.33550000,0.32151899
112589,0.31600000,0.34936709
112590,0.29250000,0.09873418
112591,0.26450000,0.00506329
112592,0.23400000,0.00506329
