'sample interval','PLETH','III'
'0.008 sec','mV','mV'
180000,-0.47450000,0.07700000
180001,-0.49400000,0.10550000
180002,-0.50700000,0.12550000
180003,-0.50700000,0.12900000
180004,-0.50050000,0.12400000
180005,-0.47450000,0.11600000
180006,-0.42900000,0.10000000
180007,-0.36400000,0.07300000
180008,-0.28600000,0.04350000
180009,-0.19500000,0.01700000
180010,-0.10400000,0.00000000
180011,-0.00650000,-0.01600000
180012,0.09100000,-0.03500000
180013,0.17550000,-0.05100000
180014,0.24050000,-0.05650000
180015,0.29250000,-0.04800000
180016,0.31850000,-0.03850000
180017,0.31850000,-0.03450000
180018,0.30550000,-0.02450000
180019,0.27950000,-0.01900000
180020,0.24050000,-0.02200000
180021,0.18850000,-0.02700000
180022,0.13650000,-0.03000000
180023,0.07800000,-0.03500000
180024,0.01950000,-0.04000000
180025,-0.04550000,-0.04050000
180026,-0.10400000,-0.04550000
180027,-0.15600000,-0.05550000
180028,-0.21450000,-0.05700000
180029,-0.27950000,-0.03800000
180030,-0.32500000,0.01500000
180031,-0.37050000,0.11300000
180032,-0.41600000,0.29100000
180033,-0.46150000,0.52450000
180034,-0.48750000,0.58600000
180035,-0.50700000,0.37700000
180036,-0.55100000,0.12250000
180037,-0.56400000,-0.02550000
180038,-0.56400000,-0.08800000
180039,-0.56400000,-0.10750000
180040,-0.54450000,-0.10350000
180041,-0.51850000,-0.09900000
180042,-0.49850000,-0.10850000
180043,-0.48550000,-0.11550000
180044,-0.46600000,-0.10600000
180045,-0.43950000,-0.09200000
180046,-0.42650000,-0.08400000
180047,-0.42000000,-0.08100000
180048,-0.41350000,-0.07700000
180049,-0.42650000,-0.06750000
180050,-0.42650000,-0.05600000
180051,-0.44600000,-0.04700000
180052,-0.46600000,-0.04200000
180053,-0.49200000,-0.02450000
180054,-0.50500000,0.00100000
180055,-0.53150000,0.03450000
180056,-0.55100000,0.07350000
180057,-0.57100000,0.10150000
180058,-0.58400000,0.11950000
180059,-0.58400000,0.12750000
180060,-0.57100000,0.12400000
180061,-0.54450000,0.10900000
180062,-0.49200000,0.09100000
180063,-0.43300000,0.06650000
180064,-0.35400000,0.04000000
180065,-0.25600000,0.01800000
180066,-0.16400000,0.00450000
180067,-0.05900000,-0.00700000
180068,0.03950000,-0.02000000
180069,0.13150000,-0.03250000
180070,0.19700000,-0.04350000
180071,0.24300000,-0.04200000
180072,0.28250000,-0.03700000
180073,0.27600000,-0.03600000
180074,0.26250000,-0.02850000
180075,0.24300000,-0.02250000
180076,0.20350000,-0.02850000
180077,0.14450000,-0.03350000
180078,0.09200000,-0.03150000
180079,0.03300000,-0.03100000
180080,-0.02600000,-0.03150000
180081,-0.07850000,-0.03550000
180082,-0.14400000,-0.04500000
180083,-0.19650000,-0.04950000
180084,-0.25600000,-0.04300000
180085,-0.30150000,-0.02150000
180086,-0.36100000,0.02750000
180087,-0.40650000,0.12850000
180088,-0.44600000,0.33050000
180089,-0.48550000,0.55450000
180090,-0.51850000,0.55350000
180091,-0.53800000,0.31750000
180092,-0.55750000,0.09350000
180093,-0.55750000,-0.02700000
180094,-0.57100000,-0.07800000
180095,-0.55100000,-0.09550000
180096,-0.53800000,-0.09900000
180097,-0.51150000,-0.10700000
180098,-0.48550000,-0.11450000
180099,-0.45900000,-0.11200000
180100,-0.44000000,-0.10250000
180101,-0.40550000,-0.09600000
180102,-0.39850000,-0.08950000
180103,-0.38500000,-0.08250000
180104,-0.38500000,-0.07500000
180105,-0.38500000,-0.06750000
180106,-0.39850000,-0.05600000
180107,-0.40550000,-0.04350000
180108,-0.42600000,-0.03450000
180109,-0.44700000,-0.01950000
180110,-0.46750000,0.00600000
180111,-0.49500000,0.03550000
180112,-0.52250000,0.06700000
180113,-0.52950000,0.09750000
180114,-0.54300000,0.11750000
180115,-0.53600000,0.12000000
180116,-0.52250000,0.11300000
180117,-0.48800000,0.10200000
180118,-0.43300000,0.08750000
180119,-0.37100000,0.06750000
180120,-0.28200000,0.04350000
180121,-0.17200000,0.02000000
180122,-0.06850000,-0.00100000
180123,0.03450000,-0.01650000
