'sample interval','PLETH','II'
'0.008 sec','mV','mV'
146001,0.07050000,0.03900000
146002,0.12700000,0.05550000
146003,0.19950000,0.06100000
146004,0.27800000,0.07450000
146005,0.36500000,0.07200000
146006,0.45150000,0.08850000
146007,0.54000000,0.08000000
146008,0.61900000,0.09650000
146009,0.69150000,0.08850000
146010,0.75200000,0.09950000
146011,0.79800000,0.08000000
146012,0.83850000,0.08550000
146013,0.86050000,0.06900000
146014,0.87700000,0.06650000
146015,0.88100000,0.05000000
146016,0.87500000,0.04700000
146017,0.86050000,0.03350000
146018,0.84250000,0.03050000
146019,0.81450000,0.02500000
146020,0.78000000,0.01950000
146021,0.74200000,0.01700000
146022,0.70150000,0.01150000
146023,0.65700000,0.01150000
146024,0.60700000,0.00600000
146025,0.55850000,0.01150000
146026,0.50600000,0.00850000
146027,0.45350000,0.01700000
146028,0.39700000,0.00600000
146029,0.34250000,0.01950000
146030,0.28850000,0.00850000
146031,0.23000000,0.01400000
146032,0.17550000,0.00350000
146033,0.12300000,0.01700000
146034,0.06850000,0.01150000
146035,0.01600000,0.02250000
146036,-0.03200000,0.01950000
146037,-0.07650000,0.03050000
146038,-0.12100000,0.01950000
146039,-0.15500000,0.03900000
146040,-0.18950000,0.03350000
146041,-0.21750000,0.03900000
146042,-0.24200000,0.03050000
146043,-0.26000000,0.03900000
146044,-0.27400000,0.03900000
146045,-0.28200000,0.03350000
146046,-0.29000000,0.01950000
146047,-0.29850000,0.00600000
146048,-0.30250000,0.00350000
146049,-0.30450000,0.00100000
146050,-0.30450000,0.00100000
146051,-0.30650000,0.00100000
146052,-0.30850000,0.00100000
146053,-0.31250000,0.00100000
146054,-0.31050000,0.00100000
146055,-0.31250000,0.00100000
146056,-0.31450000,0.02500000
146057,-0.31450000,0.05250000
146058,-0.31650000,0.06100000
146059,-0.31850000,-0.01250000
146060,-0.32050000,-0.07300000
146061,-0.32250000,-0.18250000
146062,-0.32450000,-0.27600000
146063,-0.32650000,-0.33050000
146064,-0.33050000,-0.30600000
146065,-0.33250000,-0.27900000
146066,-0.33650000,-0.25950000
146067,-0.34050000,-0.26800000
146068,-0.34250000,-0.25700000
146069,-0.34650000,-0.23200000
146070,-0.34850000,-0.15800000
146071,-0.35050000,-0.08150000
146072,-0.35250000,-0.02650000
146073,-0.35250000,0.00100000
146074,-0.35450000,0.00100000
146075,-0.35450000,0.00350000
146076,-0.35850000,0.00100000
146077,-0.35650000,0.00600000
146078,-0.36050000,0.00350000
146079,-0.36500000,0.01150000
146080,-0.36500000,0.00100000
146081,-0.37100000,0.01150000
146082,-0.37300000,0.00600000
146083,-0.37700000,0.01700000
146084,-0.37900000,0.01150000
146085,-0.37900000,0.02250000
146086,-0.37700000,0.01700000
146087,-0.36700000,0.03050000
146088,-0.34850000,0.02500000
146089,-0.32250000,0.04150000
146090,-0.28000000,0.03900000
146091,-0.22950000,0.05550000
146092,-0.16500000,0.05550000
146093,-0.09050000,0.06650000
146094,-0.00600000,0.07200000
146095,0.07850000,0.07750000
146096,0.16750000,0.08300000
146097,0.25400000,0.08850000
146098,0.32850000,0.09650000
146099,0.40100000,0.09400000
146100,0.45750000,0.09400000
146101,0.50400000,0.08850000
146102,0.53800000,0.08300000
146103,0.56250000,0.06650000
146104,0.57450000,0.06650000
146105,0.57650000,0.05000000
146106,0.57250000,0.05000000
146107,0.56250000,0.03350000
146108,0.54450000,0.03050000
146109,0.52000000,0.01700000
146110,0.49400000,0.02250000
146111,0.46150000,0.01150000
146112,0.42750000,0.02250000
146113,0.38900000,0.01150000
146114,0.34650000,0.01400000
146115,0.30250000,0.00600000
146116,0.25600000,0.01700000
146117,0.20750000,0.00600000
146118,0.15950000,0.01150000
146119,0.10900000,0.01150000
146120,0.05850000,0.00850000
146121,0.00800000,0.00850000
146122,-0.03800000,0.00600000
146123,-0.08450000,0.01150000
146124,-0.12900000,0.01150000
146125,-0.17150000,0.01700000
146126,-0.20550000,0.01150000
146127,-0.24200000,0.02250000
146128,-0.27000000,0.01950000
146129,-0.29600000,0.03350000
146130,-0.32250000,0.03600000
146131,-0.34050000,0.04150000
146132,-0.35450000,0.02800000
146133,-0.36900000,0.04150000
146134,-0.37700000,0.03600000
146135,-0.38700000,0.04150000
146136,-0.38900000,0.01950000
146137,-0.39100000,0.01950000
146138,-0.39300000,0.00100000
146139,-0.39100000,0.00100000
146140,-0.38900000,0.00100000
146141,-0.38700000,0.00100000
146142,-0.38500000,0.00100000
146143,-0.38300000,0.00100000
146144,-0.37900000,0.00100000
146145,-0.37700000,0.00100000
146146,-0.37500000,0.00100000
146147,-0.37100000,0.04450000
146148,-0.36900000,0.06900000
146149,-0.36700000,0.01950000
146150,-0.36700000,-0.04550000
146151,-0.36500000,-0.13050000
146152,-0.36700000,-0.23750000
146153,-0.36500000,-0.30900000
146154,-0.36700000,-0.31700000
146155,-0.36700000,-0.29000000
146156,-0.37100000,-0.25400000
146157,-0.37300000,-0.26500000
146158,-0.37100000,-0.25150000
146159,-0.37300000,-0.25150000
146160,-0.37500000,-0.18800000
146161,-0.37500000,-0.12000000
146162,-0.37500000,-0.04850000
146163,-0.37500000,-0.01550000
146164,-0.37500000,0.00100000
146165,-0.37500000,0.00350000
146166,-0.37300000,0.01400000
146167,-0.37300000,0.00350000
