point,rri,ECGshift,PPGGshift
198013,0.408,17,17
198064,0.424,17,17
198117,0.496,17,17
198179,0.272,17,17
198213,0.208,17,17
198239,0.552,17,17
198308,0.568,17,17
198379,0.576,17,17
198451,0.488,17,17
198512,0.456,17,17
198569,0.464,17,17
198627,0.376,17,17
198674,0.872,17,17
198783,0.384,17,17
198831,0.600,17,17
198906,0.440,17,17
198961,0.632,17,17
199040,0.536,17,17
199107,0.472,17,17
199166,0.456,17,17
199223,0.416,17,17
199275,0.472,17,17
199334,0.440,17,17
199389,0.424,17,17
199442,0.440,17,17
199497,0.464,17,17
199555,0.400,17,17
199605,0.432,17,17
199659,0.432,17,17
199713,0.440,17,17
199768,0.432,17,17
199822,0.456,17,17
199879,0.432,17,17
199933,0.448,17,17
199989,0.464,17,17
200047,0.464,17,17
200105,0.424,17,17
200158,0.456,17,17
200215,0.392,17,17
200264,0.408,17,17
200315,0.416,17,17
200367,0.480,17,17
200427,0.432,17,17
200481,0.400,17,17
200531,0.416,17,17
200583,0.464,17,17
200641,0.472,17,17
200700,0.416,17,17
200752,0.496,17,17
200814,0.472,17,17
200873,0.472,17,17
200932,0.488,17,17
200993,0.456,17,17
201050,0.512,17,17
201114,0.480,17,17
201174,0.416,17,17
201226,0.448,17,17
201282,0.440,17,17
201337,0.424,17,17
201390,0.416,17,17
201442,0.456,17,17
201499,0.496,17,17
201561,0.504,17,17
201624,0.432,17,17
201678,0.408,17,17
201729,0.368,17,17
