'sample interval','PLETH','I'
'0.008 sec','mV','mV'
133001,0.42850000,0.09149278
133002,0.48300000,0.05617978
133003,0.53250000,0.05617978
133004,0.58200000,0.02407705
133005,0.63650000,0.00963082
133006,0.68150000,-0.04280364
133007,0.71750000,-0.05457464
133008,0.74950000,-0.04868914
133009,0.78100000,-0.04280364
133010,0.79450000,-0.05778491
133011,0.80800000,-0.07223114
133012,0.80800000,-0.06367041
133013,0.80800000,-0.03103264
133014,0.79450000,-0.03103264
133015,0.78100000,-0.02835741
133016,0.76300000,-0.05778491
133017,0.73550000,-0.03691814
133018,0.71300000,-0.00481541
133019,0.68150000,-0.00749064
133020,0.65000000,-0.03424291
133021,0.60950000,-0.04601391
133022,0.56850000,-0.00749064
133023,0.51900000,-0.01337614
133024,0.47400000,-0.04012841
133025,0.42400000,-0.04868914
133026,0.37900000,-0.05457464
133027,0.32500000,-0.04012841
133028,0.28400000,-0.02247191
133029,0.23450000,-0.04012841
133030,0.19850000,-0.00749064
133031,0.16700000,-0.00481541
133032,0.13950000,-0.00160514
133033,0.11700000,-0.04868914
133034,0.10350000,-0.02514714
133035,0.09900000,-0.04280364
133036,0.09900000,-0.00749064
133037,0.09900000,-0.00749064
133038,0.10800000,-0.02247191
133039,0.11250000,-0.04012841
133040,0.12600000,-0.06046014
133041,0.13500000,-0.05778491
133042,0.14850000,-0.05457464
133043,0.15750000,-0.07223114
133044,0.16700000,-0.09577314
133045,0.16700000,-0.06955591
133046,0.16700000,0.04761905
133047,0.15750000,0.23220974
133048,0.14400000,0.38790797
133049,0.13050000,0.49331193
133050,0.11700000,0.31460674
133051,0.09450000,0.05350455
133052,0.06750000,-0.03691814
133053,0.04050000,-0.04280364
133054,0.02250000,-0.04868914
133055,-0.00500000,-0.02514714
133056,-0.03200000,-0.05457464
133057,-0.05000000,-0.10754414
133058,-0.06350000,-0.09898341
133059,-0.07250000,-0.08400214
133060,-0.08150000,-0.03424291
133061,-0.08600000,-0.04012841
133062,-0.09500000,-0.06955591
133063,-0.09050000,-0.06634564
133064,-0.09500000,-0.06955591
133065,-0.09500000,-0.08132691
133066,-0.10400000,-0.05457464
133067,-0.10850000,-0.04601391
133068,-0.11750000,-0.05778491
133069,-0.12200000,-0.01926164
133070,-0.13150000,0.00107009
133071,-0.14050000,-0.01337614
133072,-0.14950000,-0.00481541
133073,-0.15850000,-0.00749064
133074,-0.15850000,-0.00481541
133075,-0.14500000,0.01819155
133076,-0.13150000,0.05617978
133077,-0.11300000,0.07704655
133078,-0.08150000,0.10058855
133079,-0.05000000,0.10058855
133080,-0.01400000,0.08560728
133081,0.01750000,0.07704655
133082,0.04950000,0.06206528
133083,0.07650000,0.06206528
133084,0.10350000,0.03584805
133085,0.11700000,-0.00160514
133086,0.12600000,-0.02247191
133087,0.13500000,-0.04012841
133088,0.13050000,-0.06367041
133089,0.13500000,-0.03691814
133090,0.13500000,-0.06634564
133091,0.13500000,-0.06955591
133092,0.12600000,-0.06046014
133093,0.13050000,-0.05778491
133094,0.13050000,-0.04012841
133095,0.11700000,-0.04601391
133096,0.10800000,-0.07811664
133097,0.09000000,-0.06046014
133098,0.06750000,-0.03691814
133099,0.03600000,-0.04280364
133100,-0.00950000,-0.05457464
133101,-0.05450000,-0.04868914
133102,-0.10850000,-0.02835741
133103,-0.16300000,-0.04868914
133104,-0.21700000,-0.02247191
133105,-0.27600000,-0.00481541
133106,-0.33450000,-0.00481541
133107,-0.39750000,-0.01926164
133108,-0.45650000,-0.04012841
