'sample interval','PLETH','V'
'0.008 sec','mV','mV'
187501,0.20700000,0.04591368
187502,0.25800000,0.04591368
187503,0.30350000,0.04591368
187504,0.34650000,0.04591368
187505,0.37900000,0.04866850
187506,0.41100000,0.05601469
187507,0.43000000,0.06611570
187508,0.44350000,0.07346189
187509,0.45150000,0.08172635
187510,0.45150000,0.08723600
187511,0.44600000,0.08631772
187512,0.43550000,0.08631772
187513,0.41950000,0.08631772
187514,0.40050000,0.08539945
187515,0.37100000,0.07713499
187516,0.34400000,0.06887052
187517,0.30900000,0.06519743
187518,0.27150000,0.05693297
187519,0.23650000,0.04958678
187520,0.19600000,0.04591368
187521,0.15600000,0.04591368
187522,0.12100000,0.04224059
187523,0.07800000,0.03948577
187524,0.04300000,0.03305785
187525,0.00550000,0.02662994
187526,-0.02950000,0.02479339
187527,-0.05900000,0.01193756
187528,-0.08850000,-0.01652893
187529,-0.12100000,-0.04040404
187530,-0.14500000,-0.03948577
187531,-0.16950000,-0.02662994
187532,-0.19100000,0.00459137
187533,-0.20950000,0.02938476
187534,-0.23100000,0.04866850
187535,-0.24700000,0.06152433
187536,-0.26600000,0.06611570
187537,-0.28200000,0.07346189
187538,-0.29550000,0.07988981
187539,-0.30900000,0.08539945
187540,-0.32250000,0.08264463
187541,-0.33600000,0.08723600
187542,-0.34650000,0.11478421
187543,-0.35750000,0.10192837
187544,-0.36400000,-0.09458219
187545,-0.37450000,-0.53902663
187546,-0.38000000,-1.00918274
187547,-0.39300000,-1.10560147
187548,-0.40400000,-0.75665748
187549,-0.40900000,-0.32966024
187550,-0.41700000,-0.05325987
187551,-0.42750000,0.09274564
187552,-0.43300000,0.15886134
187553,-0.44100000,0.17630854
187554,-0.44900000,0.18273646
187555,-0.45150000,0.18365473
187556,-0.45950000,0.18732782
187557,-0.46750000,0.17814509
187558,-0.47000000,0.17263545
187559,-0.48100000,0.16804408
187560,-0.48600000,0.16712580
187561,-0.49150000,0.16712580
187562,-0.49950000,0.16620753
187563,-0.50450000,0.15794307
187564,-0.50450000,0.14967860
187565,-0.51000000,0.13774105
187566,-0.51250000,0.12121212
187567,-0.51000000,0.10927456
187568,-0.50450000,0.09917355
187569,-0.49650000,0.08448118
187570,-0.48350000,0.07162534
187571,-0.45950000,0.05968779
187572,-0.42750000,0.04407713
187573,-0.39300000,0.03213958
187574,-0.34550000,0.02662994
187575,-0.28950000,0.02571166
187576,-0.22850000,0.02571166
187577,-0.16200000,0.02571166
187578,-0.09300000,0.02571166
187579,-0.02150000,0.02571166
187580,0.04800000,0.02571166
187581,0.11700000,0.02571166
187582,0.18050000,0.02571166
187583,0.24450000,0.03213958
187584,0.29750000,0.03397612
187585,0.34250000,0.03948577
187586,0.38500000,0.04683196
187587,0.41700000,0.05234160
187588,0.44600000,0.06152433
187589,0.46500000,0.06611570
187590,0.47800000,0.07346189
187591,0.48350000,0.08172635
187592,0.48350000,0.08723600
187593,0.48100000,0.08631772
187594,0.47000000,0.08631772
187595,0.45150000,0.08631772
187596,0.43300000,0.08264463
187597,0.40900000,0.07254362
187598,0.38000000,0.06336088
187599,0.34800000,0.05325987
187600,0.31350000,0.04683196
187601,0.27350000,0.04591368
187602,0.23350000,0.04499541
187603,0.19100000,0.04040404
187604,0.14850000,0.03673095
187605,0.10900000,0.03213958
187606,0.06900000,0.02938476
187607,0.03200000,0.02571166
187608,0.00800000,0.02112029
187609,-0.02150000,-0.00091827
187610,-0.05400000,-0.03213958
187611,-0.08100000,-0.04683196
187612,-0.10500000,-0.04407713
187613,-0.12650000,-0.02662994
187614,-0.14800000,0.00459137
187615,-0.16950000,0.03122130
187616,-0.18850000,0.05234160
187617,-0.20700000,0.06336088
187618,-0.22600000,0.06978880
187619,-0.24200000,0.07346189
187620,-0.25550000,0.07621671
187621,-0.27150000,0.07621671
187622,-0.27700000,0.07346189
187623,-0.28250000,0.08631772
187624,-0.28800000,0.10927456
187625,-0.29050000,0.06244261
187626,-0.29850000,-0.19651056
187627,-0.30950000,-0.68135904
187628,-0.32250000,-1.08907254
187629,-0.34400000,-1.04499541
187630,-0.36300000,-0.63085399
187631,-0.39250000,-0.23140496
187632,-0.41700000,0.00183655
187633,-0.44350000,0.12304867
187634,-0.46500000,0.17355372
187635,-0.47600000,0.18365473
187636,-0.48400000,0.18732782
187637,-0.48950000,0.18732782
187638,-0.48400000,0.18640955
187639,-0.47850000,0.18089991
187640,-0.47600000,0.17355372
187641,-0.47300000,0.16804408
187642,-0.46500000,0.16712580
187643,-0.46500000,0.16620753
187644,-0.46250000,0.15702479
187645,-0.46800000,0.14325069
187646,-0.46800000,0.13039486
187647,-0.47050000,0.12304867
187648,-0.47050000,0.11570248
187649,-0.46800000,0.10743802
187650,-0.46250000,0.09641873
187651,-0.45450000,0.08631772
187652,-0.44350000,0.07346189
187653,-0.42200000,0.05601469
187654,-0.39250000,0.04315886
187655,-0.35250000,0.03213958
187656,-0.30950000,0.02662994
187657,-0.25300000,0.02571166
187658,-0.19100000,0.02571166
187659,-0.12100000,0.02571166
187660,-0.05400000,0.02571166
187661,0.01850000,0.02571166
187662,0.09100000,0.02571166
187663,0.16100000,0.02846648
187664,0.22300000,0.03673095
187665,0.28450000,0.04591368
187666,0.33850000,0.04591368
187667,0.38950000,0.04591368
187668,0.42700000,0.04591368
187669,0.45950000,0.04591368
187670,0.48600000,0.05509642
187671,0.50750000,0.06887052
187672,0.52650000,0.07621671
187673,0.53450000,0.08264463
187674,0.53200000,0.08356290
187675,0.52650000,0.08539945
187676,0.51600000,0.08631772
187677,0.49450000,0.08539945
187678,0.47000000,0.07988981
187679,0.44050000,0.07346189
187680,0.40550000,0.06611570
187681,0.36800000,0.05968779
187682,0.33050000,0.05050505
187683,0.29550000,0.04591368
187684,0.25500000,0.04591368
187685,0.21200000,0.04591368
187686,0.17450000,0.04224059
187687,0.13700000,0.03673095
187688,0.09650000,0.02938476
187689,0.05900000,0.02203857
187690,0.01600000,0.00459137
187691,-0.01900000,-0.02479339
187692,-0.05400000,-0.04407713
187693,-0.08350000,-0.04407713
187694,-0.11550000,-0.02662994
