'sample interval','PLETH','II'
'0.008 sec','mV','mV'
112501,-0.02300000,-0.21288515
112502,-0.01400000,-0.19794585
112503,-0.00550000,-0.18767507
112504,0.00300000,-0.17553688
112505,0.01100000,-0.17553688
112506,0.01850000,-0.18580766
112507,0.02700000,-0.18580766
112508,0.03650000,-0.18394024
112509,0.04450000,-0.17460317
112510,0.05300000,-0.16153128
112511,0.06150000,-0.15592904
112512,0.06900000,-0.15126050
112513,0.07650000,-0.15032680
112514,0.08100000,-0.14472456
112515,0.08650000,-0.14379085
112516,0.09100000,-0.14939309
112517,0.09500000,-0.15032680
112518,0.09850000,-0.14098973
112519,0.10250000,-0.12324930
112520,0.11000000,-0.10550887
112521,0.11800000,-0.09617180
112522,0.13100000,-0.09523810
112523,0.14900000,-0.09150327
112524,0.17300000,-0.07282913
112525,0.20200000,-0.06162465
112526,0.23900000,-0.04761905
112527,0.28000000,-0.02147526
112528,0.32550000,-0.00746965
112529,0.37400000,0.00000000
112530,0.42400000,0.02240896
112531,0.47150000,0.04295051
112532,0.51700000,0.04388422
112533,0.56150000,0.03641457
112534,0.60550000,0.03361345
112535,0.64550000,0.04575163
112536,0.68500000,0.06722689
112537,0.72250000,0.08123249
112538,0.75950000,0.09056956
112539,0.79300000,0.10737628
112540,0.82550000,0.11858077
112541,0.85250000,0.11858077
112542,0.87600000,0.09990663
112543,0.89150000,0.06535948
112544,0.90300000,0.03081232
112545,0.90950000,0.01400560
112546,0.91200000,-0.00186741
112547,0.91100000,-0.01680672
112548,0.90850000,-0.02707750
112549,0.90300000,-0.02427638
112550,0.89550000,-0.01960784
112551,0.88500000,-0.01400560
112552,0.87100000,-0.01680672
112553,0.85450000,-0.02427638
112554,0.83500000,-0.02801120
112555,0.81150000,-0.02801120
112556,0.78450000,-0.03174603
112557,0.75500000,-0.04014939
112558,0.72350000,-0.03548086
112559,0.69000000,-0.03828198
112560,0.65350000,-0.04668534
112561,0.61850000,-0.03548086
112562,0.58300000,-0.01587302
112563,0.54850000,-0.01680672
112564,0.51600000,-0.03734827
112565,0.48450000,-0.05695612
112566,0.45550000,-0.07096172
112567,0.42750000,-0.07469655
112568,0.40100000,-0.06909430
112569,0.37650000,-0.07096172
112570,0.35350000,-0.06909430
112571,0.33100000,-0.06255836
112572,0.31150000,-0.05508870
112573,0.29000000,-0.05882353
112574,0.26950000,-0.06535948
112575,0.25000000,-0.07096172
112576,0.23150000,-0.07376284
112577,0.21200000,-0.08496732
112578,0.19350000,-0.09243697
112579,0.17600000,-0.09617180
112580,0.15900000,-0.09430439
112581,0.14150000,-0.08309991
112582,0.12650000,-0.06162465
112583,0.11050000,-0.04295051
112584,0.09650000,-0.05135387
112585,0.08300000,-0.06629318
112586,0.07000000,-0.06909430
112587,0.05600000,-0.06909430
112588,0.04400000,-0.06909430
112589,0.03250000,-0.06909430
112590,0.01950000,-0.06535948
112591,0.00850000,-0.05228758
112592,-0.00250000,-0.04761905
112593,-0.01500000,-0.06162465
112594,-0.02500000,-0.08309991
112595,-0.03550000,-0.07936508
112596,-0.04650000,-0.06535948
112597,-0.05500000,-0.05788982
112598,-0.06400000,-0.04855275
112599,-0.07350000,-0.04761905
112600,-0.08250000,-0.04108310
112601,-0.09000000,-0.02054155
112602,-0.09650000,-0.00933707
112603,-0.10500000,-0.00093371
112604,-0.11150000,0.00840336
112605,-0.11700000,0.02707750
112606,-0.12250000,0.04668534
112607,-0.12900000,0.06069094
112608,-0.13300000,0.06255836
112609,-0.13650000,0.05602241
112610,-0.14150000,0.04388422
112611,-0.14300000,0.01587302
112612,-0.14700000,-0.02987862
112613,-0.14850000,-0.07096172
112614,-0.15150000,-0.08029879
112615,-0.15450000,-0.06629318
112616,-0.15500000,-0.06535948
112617,-0.15900000,-0.08216620
