'sample interval','PLETH ','V '
'0.008 sec','mV','mV'
112501,0.32550000,0.04656716
112502,0.35700000,0.00417910
112503,0.38500000,0.03343284
112504,0.40650000,0.00059701
112505,0.42250000,-0.00537313
112506,0.43450000,0.00716418
112507,0.43850000,-0.00835821
112508,0.44000000,-0.00835821
112509,0.43450000,0.00417910
112510,0.42250000,0.00716418
112511,0.40800000,0.00119403
112512,0.38650000,-0.00179104
112513,0.36100000,-0.00179104
112514,0.33200000,0.00119403
112515,0.29750000,0.00119403
112516,0.26000000,-0.00537313
112517,0.22250000,-0.02149254
112518,0.18150000,-0.00537313
112519,0.14000000,-0.02805970
112520,0.09750000,-0.01850746
112521,0.05750000,-0.01492537
112522,0.01900000,-0.01492537
112523,-0.01850000,-0.01850746
112524,-0.05300000,-0.03164179
112525,-0.08350000,-0.02149254
112526,-0.11300000,-0.01492537
112527,-0.14100000,-0.02149254
112528,-0.16350000,-0.01850746
112529,-0.18500000,-0.02507463
112530,-0.20350000,-0.01850746
112531,-0.21800000,-0.02507463
112532,-0.23150000,-0.02507463
112533,-0.24600000,-0.00835821
112534,-0.25700000,-0.02507463
112535,-0.26600000,-0.01194030
112536,-0.27400000,-0.01850746
112537,-0.28200000,-0.02149254
112538,-0.29000000,-0.03462687
112539,-0.29700000,-0.01492537
112540,-0.30200000,-0.01194030
112541,-0.30900000,-0.01492537
112542,-0.31700000,-0.01492537
112543,-0.32350000,-0.00537313
112544,-0.33000000,0.00119403
112545,-0.33700000,0.00417910
112546,-0.34350000,-0.00179104
112547,-0.35000000,0.00119403
112548,-0.35800000,0.00417910
112549,-0.36750000,0.00119403
112550,-0.37550000,-0.00835821
112551,-0.38350000,-0.00835821
112552,-0.39150000,-0.01194030
112553,-0.39950000,-0.00835821
112554,-0.40750000,-0.00835821
112555,-0.41650000,-0.01492537
112556,-0.42350000,-0.01194030
112557,-0.43000000,-0.02149254
112558,-0.43650000,-0.01194030
112559,-0.44350000,0.01373134
112560,-0.44600000,0.08597015
112561,-0.45150000,0.15820896
112562,-0.45700000,0.19343284
112563,-0.46250000,0.05313433
112564,-0.46650000,-0.23761194
112565,-0.47150000,-0.42746269
112566,-0.47700000,-0.60417910
112567,-0.48100000,-0.52238806
112568,-0.48650000,-0.33253731
112569,-0.48900000,-0.17552239
112570,-0.49300000,-0.03462687
112571,-0.49600000,0.01671642
112572,-0.49850000,0.04656716
112573,-0.50000000,0.06268657
112574,-0.50000000,0.06925373
112575,-0.50250000,0.07283582
112576,-0.50250000,0.07582090
112577,-0.50400000,0.09552239
112578,-0.50500000,0.09253731
112579,-0.50650000,0.09253731
112580,-0.50800000,0.09910448
112581,-0.51050000,0.10567164
112582,-0.51050000,0.10567164
112583,-0.51300000,0.10567164
112584,-0.51200000,0.10567164
112585,-0.51050000,0.11522388
112586,-0.50500000,0.11522388
112587,-0.49700000,0.11522388
112588,-0.48250000,0.13850746
112589,-0.46250000,0.14507463
112590,-0.43550000,0.14507463
112591,-0.39950000,0.16119403
112592,-0.35500000,0.17134328
112593,-0.30300000,0.17432836
112594,-0.24800000,0.18089552
112595,-0.18650000,0.17791045
112596,-0.12200000,0.18746269
112597,-0.05650000,0.17791045
112598,0.00950000,0.16477612
112599,0.07350000,0.14805970
112600,0.13250000,0.12537313
112601,0.18750000,0.10567164
112602,0.23450000,0.08895522
112603,0.28000000,0.06626866
112604,0.31750000,0.04656716
112605,0.34850000,0.02328358
112606,0.37650000,0.02029851
112607,0.39500000,0.00417910
112608,0.41000000,0.00119403
112609,0.41800000,0.00119403
112610,0.42200000,0.00119403
112611,0.42050000,0.00119403
112612,0.41250000,0.00119403
112613,0.39900000,0.00119403
112614,0.38050000,0.00119403
112615,0.35750000,-0.00179104
112616,0.33100000,0.00119403
112617,0.29850000,0.00119403
112618,0.26250000,-0.00537313
112619,0.22500000,-0.01492537
112620,0.18500000,-0.02149254
112621,0.14600000,-0.01492537
112622,0.10300000,-0.03164179
112623,0.06150000,-0.01492537
112624,0.02250000,-0.01850746
112625,-0.01500000,-0.03462687
