'sample interval','PLETH','III'
'0.008 sec','mV','mV'
3600001,-0.42050000,-0.02650000
3600002,-0.42400000,-0.03750000
3600003,-0.42900000,-0.03750000
3600004,-0.43250000,-0.03750000
3600005,-0.44150000,-0.04000000
3600006,-0.44800000,-0.04300000
3600007,-0.45350000,-0.03450000
3600008,-0.46400000,-0.02900000
3600009,-0.46900000,-0.03200000
3600010,-0.47750000,-0.03450000
3600011,-0.48100000,-0.02650000
3600012,-0.48650000,-0.02100000
3600013,-0.48100000,-0.01550000
3600014,-0.47250000,-0.01250000
3600015,-0.45500000,-0.00450000
3600016,-0.42550000,0.00350000
3600017,-0.38100000,0.01400000
3600018,-0.32550000,0.02250000
3600019,-0.25250000,0.03900000
3600020,-0.17300000,0.05800000
3600021,-0.08300000,0.07200000
3600022,0.01200000,0.08850000
3600023,0.10550000,0.09650000
3600024,0.19050000,0.09400000
3600025,0.26100000,0.08300000
3600026,0.32200000,0.07200000
3600027,0.36500000,0.05800000
3600028,0.39100000,0.03900000
3600029,0.40500000,0.02500000
3600030,0.40500000,0.01400000
3600031,0.39300000,0.00050000
3600032,0.37200000,-0.00700000
3600033,0.34250000,-0.01550000
3600034,0.30800000,-0.02350000
3600035,0.27150000,-0.02900000
3600036,0.22850000,-0.03200000
3600037,0.18150000,-0.04000000
3600038,0.13500000,-0.04550000
3600039,0.08150000,-0.04550000
3600040,0.02950000,-0.04000000
3600041,-0.02600000,-0.03750000
3600042,-0.07950000,-0.02650000
3600043,-0.13350000,-0.01250000
3600044,-0.18200000,-0.01000000
3600045,-0.23000000,-0.01000000
3600046,-0.27700000,-0.00450000
3600047,-0.31650000,-0.00150000
3600048,-0.35650000,-0.02650000
3600049,-0.39100000,-0.04300000
3600050,-0.41700000,-0.04000000
3600051,-0.44300000,-0.02350000
3600052,-0.46200000,-0.02650000
3600053,-0.47950000,-0.05650000
3600054,-0.49150000,-0.08150000
3600055,-0.49650000,-0.07850000
3600056,-0.50350000,-0.07600000
3600057,-0.50550000,-0.07850000
3600058,-0.50700000,-0.08150000
3600059,-0.50550000,-0.08150000
3600060,-0.50350000,-0.08150000
3600061,-0.49850000,-0.08150000
3600062,-0.49650000,-0.08700000
3600063,-0.49000000,-0.08700000
3600064,-0.47400000,-0.07850000
3600065,-0.46700000,-0.08400000
3600066,-0.46000000,-0.05950000
3600067,-0.45150000,0.03350000
3600068,-0.44100000,0.23350000
3600069,-0.42900000,0.34850000
3600070,-0.42050000,0.29950000
3600071,-0.40850000,0.16800000
3600072,-0.39950000,0.25300000
3600073,-0.39100000,0.22000000
3600074,-0.38250000,0.12700000
3600075,-0.37700000,0.08550000
3600076,-0.37350000,0.06350000
3600077,-0.37200000,0.04150000
3600078,-0.37050000,-0.00200000
3600079,-0.37200000,-0.02350000
3600080,-0.37350000,-0.03450000
3600081,-0.37900000,-0.03450000
3600082,-0.38600000,-0.04000000
3600083,-0.39100000,-0.04300000
3600084,-0.39800000,-0.04000000
3600085,-0.40650000,-0.03450000
3600086,-0.41350000,-0.03200000
3600087,-0.42200000,-0.02650000
3600088,-0.42900000,-0.01800000
3600089,-0.43600000,-0.01550000
3600090,-0.43950000,-0.01550000
3600091,-0.43750000,-0.01250000
3600092,-0.43250000,-0.00450000
3600093,-0.41500000,0.00350000
3600094,-0.38950000,0.00600000
3600095,-0.34950000,0.01400000
3600096,-0.29950000,0.02800000
3600097,-0.23200000,0.04150000
3600098,-0.15550000,0.05550000
3600099,-0.07100000,0.07200000
3600100,0.01750000,0.09100000
3600101,0.10400000,0.10500000
3600102,0.18500000,0.10500000
3600103,0.25250000,0.09950000
3600104,0.30800000,0.08550000
3600105,0.34800000,0.06900000
3600106,0.37200000,0.05250000
3600107,0.38100000,0.03900000
3600108,0.37900000,0.02500000
3600109,0.36700000,0.01700000
3600110,0.34450000,0.00050000
3600111,0.31650000,-0.01000000
3600112,0.28750000,-0.01550000
3600113,0.24950000,-0.02350000
3600114,0.20950000,-0.03750000
3600115,0.16450000,-0.03450000
3600116,0.11750000,-0.04000000
3600117,0.06750000,-0.04000000
3600118,0.01550000,-0.04850000
3600119,-0.03800000,-0.04000000
3600120,-0.09000000,-0.02650000
3600121,-0.13850000,-0.01000000
3600122,-0.18350000,-0.01000000
3600123,-0.22650000,-0.00700000
3600124,-0.26800000,-0.00150000
3600125,-0.30300000,-0.00150000
3600126,-0.33550000,-0.02650000
3600127,-0.36350000,-0.04300000
3600128,-0.38450000,-0.04300000
3600129,-0.40350000,-0.02650000
3600130,-0.42050000,-0.02650000
3600131,-0.43450000,-0.05100000
3600132,-0.44650000,-0.07600000
3600133,-0.45350000,-0.08400000
3600134,-0.46050000,-0.08700000
3600135,-0.46200000,-0.08400000
3600136,-0.45850000,-0.07600000
3600137,-0.45700000,-0.07850000
3600138,-0.45500000,-0.08150000
3600139,-0.45000000,-0.08700000
3600140,-0.44300000,-0.08150000
3600141,-0.43600000,-0.08150000
3600142,-0.42600000,-0.08400000
3600143,-0.41900000,-0.08700000
3600144,-0.41000000,-0.07850000
3600145,-0.40150000,-0.01550000
3600146,-0.39300000,0.16250000
3600147,-0.38250000,0.32400000
3600148,-0.37400000,0.34850000
3600149,-0.36350000,0.21700000
3600150,-0.35500000,0.23650000
3600151,-0.34450000,0.23100000
3600152,-0.33400000,0.12950000
3600153,-0.32700000,0.08300000
3600154,-0.32050000,0.05250000
3600155,-0.31700000,0.03350000
3600156,-0.31500000,-0.00450000
3600157,-0.31350000,-0.03450000
3600158,-0.31700000,-0.04850000
3600159,-0.32200000,-0.05100000
3600160,-0.32900000,-0.05400000
3600161,-0.33400000,-0.06200000
3600162,-0.34300000,-0.05650000
3600163,-0.34950000,-0.05400000
3600164,-0.35650000,-0.05400000
3600165,-0.36550000,-0.05100000
3600166,-0.37050000,-0.04550000
3600167,-0.37400000,-0.04000000
3600168,-0.37900000,-0.03200000
3600169,-0.37750000,-0.03200000
3600170,-0.37050000,-0.02650000
3600171,-0.35500000,-0.02100000
3600172,-0.32900000,-0.01250000
3600173,-0.28900000,-0.00700000
3600174,-0.23900000,0.00100000
3600175,-0.17500000,0.01400000
3600176,-0.09900000,0.03050000
3600177,-0.01550000,0.04700000
3600178,0.06900000,0.06650000
3600179,0.15400000,0.08300000
3600180,0.23000000,0.08550000
3600181,0.29400000,0.08000000
3600182,0.34400000,0.07200000
3600183,0.37700000,0.05800000
3600184,0.39600000,0.04150000
3600185,0.39950000,0.02500000
3600186,0.39250000,0.00350000
3600187,0.37900000,-0.00700000
3600188,0.35300000,-0.01800000
3600189,0.32350000,-0.02900000
3600190,0.28700000,-0.03750000
3600191,0.25100000,-0.04300000
3600192,0.21800000,-0.04850000
3600193,0.17450000,-0.05400000
3600194,0.12950000,-0.05950000
3600195,0.08300000,-0.05950000
3600196,0.03450000,-0.05650000
3600197,-0.01550000,-0.05100000
3600198,-0.06250000,-0.04550000
3600199,-0.10900000,-0.03750000
3600200,-0.15250000,-0.03750000
3600201,-0.19200000,-0.03200000
3600202,-0.22850000,-0.02900000
3600203,-0.26500000,-0.03200000
3600204,-0.29400000,-0.05950000
3600205,-0.32200000,-0.06750000
3600206,-0.34450000,-0.06500000
3600207,-0.36350000,-0.04850000
3600208,-0.37900000,-0.04850000
3600209,-0.38750000,-0.08700000
3600210,-0.39800000,-0.11150000
3600211,-0.40150000,-0.10600000
3600212,-0.40300000,-0.10350000
3600213,-0.40500000,-0.09800000
3600214,-0.40000000,-0.10900000
3600215,-0.39800000,-0.10900000
3600216,-0.39100000,-0.10600000
3600217,-0.38600000,-0.10350000
3600218,-0.37900000,-0.10600000
3600219,-0.37200000,-0.10350000
3600220,-0.36350000,-0.10600000
3600221,-0.35300000,-0.11150000
3600222,-0.34600000,-0.09800000
3600223,-0.33900000,-0.01550000
3600224,-0.32700000,0.17050000
3600225,-0.31850000,0.31850000
3600226,-0.31150000,0.32650000
3600227,-0.30450000,0.22000000
3600228,-0.29950000,0.25300000
3600229,-0.29250000,0.18150000
3600230,-0.28900000,0.07750000
3600231,-0.28550000,0.04450000
3600232,-0.28400000,0.01950000
3600233,-0.28400000,-0.00450000
3600234,-0.28400000,-0.04000000
3600235,-0.28750000,-0.05950000
3600236,-0.29100000,-0.07050000
3600237,-0.29400000,-0.07600000
3600238,-0.29950000,-0.08150000
3600239,-0.30300000,-0.07850000
3600240,-0.30650000,-0.07600000
3600241,-0.31350000,-0.07850000
3600242,-0.31650000,-0.07600000
3600243,-0.32550000,-0.07600000
3600244,-0.32900000,-0.07050000
3600245,-0.33250000,-0.06500000
3600246,-0.33250000,-0.06200000
3600247,-0.32900000,-0.05650000
3600248,-0.31650000,-0.04550000
3600249,-0.29750000,-0.04300000
3600250,-0.26650000,-0.04550000
3600251,-0.22150000,-0.03450000
3600252,-0.16250000,-0.02100000
3600253,-0.09350000,-0.01250000
3600254,-0.01900000,-0.00150000
3600255,0.06200000,0.01950000
3600256,0.15200000,0.03900000
3600257,0.22650000,0.05250000
3600258,0.29050000,0.04450000
3600259,0.33900000,0.05000000
3600260,0.37550000,0.04150000
3600261,0.39250000,0.02800000
3600262,0.39950000,0.00600000
3600263,0.39100000,-0.00150000
3600264,0.37350000,-0.01800000
3600265,0.35100000,-0.02900000
3600266,0.32000000,-0.04300000
3600267,0.28900000,-0.05400000
3600268,0.25250000,-0.05650000
3600269,0.21450000,-0.06500000
3600270,0.17300000,-0.07600000
3600271,0.13150000,-0.07850000
3600272,0.08450000,-0.07850000
3600273,0.03800000,-0.07600000
3600274,-0.01050000,-0.07300000
3600275,-0.05750000,-0.05950000
3600276,-0.10400000,-0.05400000
3600277,-0.14750000,-0.05650000
3600278,-0.18900000,-0.05650000
3600279,-0.22850000,-0.05100000
3600280,-0.26300000,-0.05100000
3600281,-0.29450000,-0.07850000
3600282,-0.32050000,-0.08700000
3600283,-0.34300000,-0.07600000
3600284,-0.35850000,-0.05950000
3600285,-0.37250000,-0.06750000
3600286,-0.38100000,-0.10350000
3600287,-0.38600000,-0.11450000
3600288,-0.38950000,-0.11150000
3600289,-0.38950000,-0.12000000
3600290,-0.38600000,-0.12000000
3600291,-0.38100000,-0.12000000
3600292,-0.37250000,-0.11700000
3600293,-0.36700000,-0.11450000
3600294,-0.35650000,-0.11700000
3600295,-0.35150000,-0.11450000
3600296,-0.34300000,-0.10900000
3600297,-0.33600000,-0.11150000
3600298,-0.33050000,-0.12250000
3600299,-0.32550000,-0.10600000
3600300,-0.32050000,-0.02350000
3600301,-0.31350000,0.16500000
3600302,-0.31000000,0.30750000
3600303,-0.30300000,0.32950000
3600304,-0.29800000,0.22550000
3600305,-0.29100000,0.25300000
3600306,-0.28750000,0.17900000
3600307,-0.28400000,0.07450000
3600308,-0.27900000,0.03900000
3600309,-0.27900000,0.01700000
3600310,-0.27900000,-0.01250000
3600311,-0.28250000,-0.04300000
3600312,-0.28400000,-0.05950000
3600313,-0.28750000,-0.06500000
3600314,-0.29450000,-0.07300000
3600315,-0.29950000,-0.07600000
3600316,-0.30650000,-0.07300000
3600317,-0.31500000,-0.07600000
3600318,-0.32400000,-0.07050000
3600319,-0.32900000,-0.07050000
3600320,-0.33750000,-0.06200000
3600321,-0.34300000,-0.05400000
3600322,-0.34800000,-0.05650000
3600323,-0.35000000,-0.05100000
3600324,-0.34800000,-0.04300000
3600325,-0.34100000,-0.04300000
3600326,-0.32400000,-0.03450000
3600327,-0.29450000,-0.02900000
3600328,-0.25300000,-0.02100000
3600329,-0.19900000,-0.01000000
3600330,-0.13700000,0.00100000
3600331,-0.06250000,0.01700000
3600332,0.01350000,0.03050000
3600333,0.09000000,0.05000000
3600334,0.16250000,0.06350000
3600335,0.22800000,0.07450000
3600336,0.27850000,0.07200000
3600337,0.31450000,0.06100000
3600338,0.33400000,0.03900000
3600339,0.34250000,0.02250000
3600340,0.33700000,0.01150000
3600341,0.32000000,0.00100000
3600342,0.29750000,-0.01550000
3600343,0.27150000,-0.02900000
3600344,0.24050000,-0.03200000
3600345,0.20250000,-0.04300000
3600346,0.16600000,-0.05400000
3600347,0.12450000,-0.05400000
3600348,0.08450000,-0.05400000
3600349,0.04150000,-0.05950000
3600350,-0.00550000,-0.05950000
3600351,-0.04850000,-0.05400000
3600352,-0.09550000,-0.05100000
3600353,-0.14050000,-0.03200000
3600354,-0.18200000,-0.03450000
3600355,-0.22350000,-0.03200000
3600356,-0.26000000,-0.02100000
3600357,-0.29250000,-0.02650000
3600358,-0.32050000,-0.03750000
3600359,-0.34450000,-0.05650000
3600360,-0.36350000,-0.05400000
3600361,-0.38100000,-0.04300000
3600362,-0.39450000,-0.03750000
3600363,-0.40150000,-0.05400000
3600364,-0.40850000,-0.08150000
3600365,-0.41200000,-0.09250000
3600366,-0.41200000,-0.09250000
3600367,-0.41200000,-0.08950000
3600368,-0.40850000,-0.08700000
3600369,-0.40150000,-0.09250000
3600370,-0.39450000,-0.08950000
3600371,-0.38800000,-0.08950000
3600372,-0.37900000,-0.08700000
3600373,-0.37400000,-0.08700000
3600374,-0.36550000,-0.08700000
3600375,-0.35650000,-0.08700000
3600376,-0.35000000,-0.09500000
3600377,-0.34300000,-0.05650000
3600378,-0.33600000,0.07450000
3600379,-0.32900000,0.27450000
3600380,-0.32400000,0.38450000
3600381,-0.31500000,0.29100000
3600382,-0.31000000,0.22800000
3600383,-0.30300000,0.26100000
3600384,-0.29250000,0.17050000
3600385,-0.28550000,0.09650000
3600386,-0.28200000,0.06100000
3600387,-0.27850000,0.03900000
3600388,-0.27700000,0.01700000
3600389,-0.27700000,-0.01800000
3600390,-0.28000000,-0.03450000
3600391,-0.28350000,-0.04550000
3600392,-0.29050000,-0.04550000
3600393,-0.29600000,-0.04300000
3600394,-0.30250000,-0.04850000
3600395,-0.30800000,-0.04550000
3600396,-0.31650000,-0.04300000
3600397,-0.32350000,-0.03450000
3600398,-0.32700000,-0.04000000
3600399,-0.33400000,-0.03750000
3600400,-0.33750000,-0.02900000
3600401,-0.33750000,-0.02900000
3600402,-0.33750000,-0.02650000
3600403,-0.33050000,-0.02100000
3600404,-0.31500000,-0.01000000
3600405,-0.28900000,0.00350000
3600406,-0.25600000,0.00100000
3600407,-0.20950000,0.01950000
3600408,-0.15200000,0.03600000
3600409,-0.08650000,0.05250000
3600410,-0.01350000,0.06650000
3600411,0.05900000,0.08300000
3600412,0.12800000,0.09650000
3600413,0.19050000,0.09950000
3600414,0.24250000,0.08300000
3600415,0.28050000,0.07450000
3600416,0.30300000,0.06100000
3600417,0.31150000,0.04150000
3600418,0.31150000,0.02500000
3600419,0.29600000,0.01150000
3600420,0.27350000,0.00350000
3600421,0.24750000,0.00100000
3600422,0.21450000,-0.01000000
3600423,0.17850000,-0.01800000
3600424,0.14200000,-0.01800000
3600425,0.10200000,-0.02650000
3600426,0.06050000,-0.03200000
3600427,0.01900000,-0.03200000
3600428,-0.02400000,-0.03200000
3600429,-0.06550000,-0.03200000
3600430,-0.10900000,-0.03200000
3600431,-0.15050000,-0.01250000
3600432,-0.18850000,-0.00700000
3600433,-0.22650000,-0.01000000
3600434,-0.25950000,-0.00700000
3600435,-0.29050000,0.00100000
3600436,-0.31650000,-0.00450000
3600437,-0.34100000,-0.03450000
3600438,-0.36000000,-0.03750000
3600439,-0.37350000,-0.02350000
3600440,-0.38400000,-0.01000000
3600441,-0.39100000,-0.02900000
3600442,-0.39250000,-0.06200000
3600443,-0.39250000,-0.07300000
3600444,-0.39450000,-0.07300000
3600445,-0.38900000,-0.07050000
3600446,-0.38600000,-0.07600000
3600447,-0.38250000,-0.07050000
3600448,-0.37050000,-0.07050000
3600449,-0.36500000,-0.07300000
3600450,-0.35850000,-0.07050000
3600451,-0.35150000,-0.07050000
3600452,-0.34250000,-0.07050000
3600453,-0.33400000,-0.07050000
3600454,-0.32700000,-0.07600000
3600455,-0.31850000,-0.02650000
3600456,-0.30800000,0.10450000
3600457,-0.30100000,0.29650000
3600458,-0.29450000,0.39000000
3600459,-0.28550000,0.28300000
3600460,-0.27850000,0.21700000
3600461,-0.26850000,0.27500000
3600462,-0.26150000,0.18700000
3600463,-0.25600000,0.12150000
3600464,-0.25100000,0.08550000
3600465,-0.24750000,0.06650000
3600466,-0.24750000,0.03600000
3600467,-0.24750000,0.00050000
3600468,-0.24950000,-0.01800000
3600469,-0.25250000,-0.02100000
3600470,-0.25800000,-0.02650000
3600471,-0.26300000,-0.02350000
3600472,-0.27000000,-0.02650000
3600473,-0.27850000,-0.02650000
3600474,-0.28550000,-0.02650000
3600475,-0.29450000,-0.02100000
3600476,-0.30300000,-0.01000000
3600477,-0.30800000,-0.01000000
3600478,-0.31350000,-0.00700000
3600479,-0.31500000,-0.00150000
3600480,-0.31500000,0.00600000
3600481,-0.30800000,0.01150000
3600482,-0.29250000,0.01400000
3600483,-0.26850000,0.02800000
3600484,-0.23200000,0.03600000
