point,rri,ECGshift,PPGGshift
112500,0.392,19,19
112549,0.504,19,19
112612,0.520,19,19
112677,0.424,19,19
112730,0.480,19,19
112790,0.440,19,19
112845,0.488,19,19
112906,0.432,19,19
112960,0.472,19,19
113019,0.448,19,19
113075,0.576,19,19
113147,0.584,19,19
113220,0.728,19,19
113311,0.512,19,19
113375,0.880,19,19
113485,0.512,19,19
113549,0.512,19,19
113613,0.528,19,19
113679,0.408,19,19
113730,0.392,19,19
113779,0.504,19,19
113842,0.592,19,19
113916,0.656,19,19
113998,0.920,19,19
114113,0.608,19,19
114189,0.584,19,19
114262,0.512,19,19
114326,0.448,19,19
114382,0.560,19,19
114452,0.568,19,19
114523,0.512,19,19
114587,0.624,19,19
114665,0.552,19,19
114734,0.536,19,19
114801,0.936,19,19
114918,0.568,19,19
114989,0.464,19,19
115047,0.464,19,19
115105,0.456,19,19
115162,0.480,19,19
115222,0.488,19,19
115283,0.480,19,19
115343,0.704,19,19
115431,0.528,19,19
115497,0.464,19,19
115555,0.480,19,19
115615,0.472,19,19
115674,0.456,19,19
115731,0.456,19,19
115788,0.448,19,19
115844,0.736,19,19
115936,0.536,19,19
116003,0.552,19,19
116072,0.472,19,19
116131,0.448,19,19
116187,0.504,19,19
116250,0.472,19,19
116309,0.488,19,19
116370,0.456,19,19
116427,0.400,19,19
116477,0.456,19,19
116534,0.536,19,19
116601,0.496,19,19
116663,0.544,19,19
116731,0.896,19,19
116843,0.656,19,19
116925,0.504,19,19
116988,0.472,19,19
117047,0.496,19,19
117109,0.464,19,19
117167,0.472,19,19
117226,0.488,19,19
117287,0.416,19,19
117339,0.544,19,19
117407,1.120,19,19
117547,0.592,19,19
117621,0.512,19,19
117685,0.456,19,19
117742,0.472,19,19
117801,0.400,19,19
117851,0.520,19,19
117916,0.464,19,19
117974,0.544,19,19
118042,0.672,19,19
118126,0.488,19,19
118187,0.480,19,19
118247,0.480,19,19
118307,0.472,19,19
118366,0.456,19,19
118423,0.480,19,19
118483,0.576,19,19
118555,0.944,19,19
118673,0.504,19,19
118736,0.552,19,19
118805,0.968,19,19
118926,0.520,19,19
118991,0.472,19,19
119050,0.600,19,19
119125,0.688,19,19
119211,0.552,19,19
119280,0.480,19,19
119340,0.592,19,19
119414,0.448,19,19
119470,0.528,19,19
119536,0.640,19,19
119616,0.488,19,19
119677,0.456,19,19
119734,0.736,19,19
119826,0.600,19,19
119901,0.520,19,19
119966,0.472,19,19
120025,0.440,19,19
120080,0.376,19,19
120127,0.360,19,19
120172,0.384,19,19
120220,0.536,19,19
120287,0.488,19,19
120348,0.416,19,19
120400,0.480,19,19
120460,0.560,19,19
120530,0.552,19,19
120599,0.576,19,19
120671,0.504,19,19
120734,0.472,19,19
120793,0.472,19,19
120852,0.464,19,19
120910,0.464,19,19
120968,0.512,19,19
121032,0.512,19,19
121096,0.408,19,19
121147,0.456,19,19
121204,0.448,19,19
121260,0.472,19,19
121319,0.504,19,19
121382,0.544,19,19
121450,0.424,19,19
121503,0.648,19,19
121584,0.600,19,19
121659,0.496,19,19
121721,0.440,19,19
121776,0.480,19,19
121836,0.504,19,19
121899,0.416,19,19
121951,0.448,19,19
122007,0.744,19,19
122100,0.592,19,19
122174,0.480,19,19
122234,0.472,19,19
122293,0.472,19,19
122352,0.480,19,19
122412,0.472,19,19
122471,0.416,19,19
122523,0.512,19,19
122587,0.448,19,19
122643,0.504,19,19
122706,0.464,19,19
122764,0.392,19,19
122813,0.368,19,19
122859,0.488,19,19
122920,0.544,19,19
122988,0.456,19,19
123045,0.496,19,19
123107,0.440,19,19
123162,0.464,19,19
123220,0.496,19,19
123282,0.480,19,19
123342,0.528,19,19
123408,0.464,19,19
123466,1.112,19,19
123605,0.544,19,19
123673,0.504,19,19
123736,0.664,19,19
123819,0.632,19,19
123898,0.528,19,19
123964,0.480,19,19
124024,0.472,19,19
124083,0.440,19,19
124138,0.480,19,19
124198,0.424,19,19
124251,0.408,19,19
124302,0.464,19,19
124360,0.552,19,19
124429,0.592,19,19
124503,0.648,19,19
124584,0.488,19,19
124645,0.488,19,19
124706,0.512,19,19
124770,0.472,19,19
124829,0.448,19,19
124885,0.448,19,19
124941,0.464,19,19
124999,0.448,19,19
125055,0.472,19,19
125114,0.456,19,19
125171,0.456,19,19
125228,0.520,19,19
125293,0.472,19,19
125352,0.432,19,19
125406,0.528,19,19
125472,0.848,19,19
125578,0.528,19,19
125644,0.512,19,19
125708,0.608,19,19
125784,0.920,19,19
125899,0.552,19,19
125968,0.456,19,19
126025,0.864,19,19
126133,0.952,19,19
126252,0.480,19,19
126312,0.472,19,19
126371,0.448,19,19
126427,0.400,19,19
126477,0.496,19,19
126539,0.568,19,19
126610,0.920,19,19
126725,0.928,19,19
126841,0.536,19,19
126908,0.472,19,19
126967,0.496,19,19
127029,0.440,19,19
127084,0.520,19,19
127149,0.432,19,19
127203,0.520,19,19
127268,0.544,19,19
127336,0.464,19,19
127394,0.472,19,19
127453,0.488,19,19
127514,0.496,19,19
127576,0.528,19,19
127642,0.520,19,19
127707,0.472,19,19
127766,0.400,19,19
127816,0.464,19,19
127874,0.520,19,19
127939,0.728,19,19
128030,0.448,19,19
128086,0.544,19,19
128154,0.480,19,19
128214,0.536,19,19
128281,0.472,19,19
128340,0.448,19,19
128396,0.808,19,19
128497,0.448,19,19
128553,0.528,19,19
128619,0.536,19,19
128686,0.488,19,19
128747,0.456,19,19
128804,0.440,19,19
128859,0.496,19,19
128921,0.392,19,19
128970,0.336,19,19
129012,0.512,19,19
129076,1.056,19,19
129208,0.712,19,19
129297,2.600,19,19
129622,0.368,19,19
129668,0.408,19,19
129719,0.496,19,19
129781,0.456,19,19
129838,0.440,19,19
129893,0.488,19,19
129954,0.496,19,19
130016,0.464,19,19
130074,0.416,19,19
130126,0.464,19,19
130184,0.840,19,19
130289,1.032,19,19
130418,0.616,19,19
130495,0.592,19,19
130569,0.528,19,19
130635,0.480,19,19
130695,0.824,19,19
130798,0.936,19,19
130915,0.552,19,19
130984,0.440,19,19
131039,0.496,19,19
131101,0.472,19,19
131160,0.488,19,19
131221,0.416,19,19
131273,0.464,19,19
131331,0.448,19,19
131387,0.464,19,19
131445,0.440,19,19
131500,0.472,19,19
131559,0.456,19,19
131616,0.456,19,19
131673,0.456,19,19
131730,0.472,19,19
131789,0.448,19,19
131845,0.464,19,19
131903,0.464,19,19
131961,0.440,19,19
132016,0.472,19,19
132075,0.352,19,19
132119,0.496,19,19
132181,0.880,19,19
132291,0.512,19,19
132355,0.448,19,19
132411,0.472,19,19
132470,0.512,19,19
132534,0.472,19,19
132593,0.504,19,19
132656,0.880,19,19
132766,0.880,19,19
132876,0.624,19,19
132954,0.472,19,19
133013,0.512,19,19
133077,0.560,19,19
133147,0.536,19,19
133214,0.448,19,19
133270,0.464,19,19
133328,0.480,19,19
133388,0.552,19,19
133457,0.552,19,19
133526,0.688,19,19
133612,1.008,19,19
133738,0.488,19,19
133799,0.536,19,19
133866,1.008,19,19
133992,0.536,19,19
134059,0.472,19,19
134118,0.424,19,19
134171,0.520,19,19
134236,0.472,19,19
134295,0.424,19,19
134348,0.464,19,19
134406,0.448,19,19
134462,0.464,19,19
134520,0.448,19,19
134576,0.472,19,19
134635,0.432,19,19
134689,0.464,19,19
134747,0.464,19,19
134805,0.488,19,19
134866,0.440,19,19
134921,0.456,19,19
134978,0.440,19,19
135033,0.472,19,19
135092,0.608,19,19
135168,0.520,19,19
135233,0.568,19,19
135304,0.512,19,19
135368,0.456,19,19
135425,0.528,19,19
135491,0.448,19,19
135547,0.456,19,19
135604,0.448,19,19
135660,0.544,19,19
135728,0.616,19,19
135805,0.584,19,19
135878,0.496,19,19
135940,0.472,19,19
135999,0.472,19,19
136058,0.456,19,19
136115,0.472,19,19
136174,0.456,19,19
136231,0.472,19,19
136290,0.464,19,19
136348,0.488,19,19
136409,0.432,19,19
136463,0.480,19,19
136523,0.912,19,19
136637,0.432,19,19
136691,0.528,19,19
136757,0.888,19,19
136868,0.864,19,19
136976,1.000,19,19
137101,0.904,19,19
137214,0.928,19,19
137330,0.448,19,19
137386,0.712,19,19
137475,0.440,19,19
137530,0.960,19,19
137650,0.528,19,19
137716,0.640,19,19
137796,0.544,19,19
137864,0.496,19,19
137926,1.008,19,19
138052,0.488,19,19
138113,0.472,19,19
138172,0.504,19,19
138235,0.376,19,19
138282,0.600,19,19
138357,0.816,19,19
138459,0.304,19,19
138497,0.328,19,19
138538,0.936,19,19
138655,0.480,19,19
138715,0.912,19,19
138829,0.648,19,19
138910,0.752,19,19
139004,0.464,19,19
139062,0.512,19,19
139126,0.448,19,19
139182,0.592,19,19
139256,0.912,19,19
139370,0.464,19,19
139428,0.416,19,19
139480,0.640,19,19
139560,0.520,19,19
139625,0.400,19,19
139675,0.800,19,19
139775,0.864,19,19
139883,0.472,19,19
139942,0.608,19,19
140018,0.544,19,19
140086,0.456,19,19
140143,0.480,19,19
140203,0.448,19,19
140259,0.448,19,19
140315,0.520,19,19
140380,0.888,19,19
