'sample interval','PLETH','I'
'0.008 sec','mV','mV'
112501,-0.24000000,0.18800000
112502,-0.25900000,0.40900000
112503,-0.27600000,0.61150000
112504,-0.29200000,0.68900000
112505,-0.30650000,0.59600000
112506,-0.32050000,0.40350000
112507,-0.33150000,0.23500000
112508,-0.34300000,0.14350000
112509,-0.35550000,0.09450000
112510,-0.36550000,0.05150000
112511,-0.37600000,0.00900000
112512,-0.38400000,-0.02800000
112513,-0.39500000,-0.05100000
112514,-0.40550000,-0.06000000
112515,-0.41450000,-0.06250000
112516,-0.42350000,-0.06300000
112517,-0.43250000,-0.06450000
112518,-0.44150000,-0.06750000
112519,-0.44950000,-0.07150000
112520,-0.45750000,-0.07500000
112521,-0.46550000,-0.07750000
112522,-0.47200000,-0.08200000
112523,-0.47800000,-0.08950000
112524,-0.48550000,-0.09400000
112525,-0.48900000,-0.09900000
112526,-0.49350000,-0.10200000
112527,-0.49500000,-0.10250000
112528,-0.49700000,-0.09750000
112529,-0.49500000,-0.09150000
112530,-0.49050000,-0.08250000
112531,-0.47900000,-0.06950000
112532,-0.46400000,-0.04950000
112533,-0.43950000,-0.02500000
112534,-0.40750000,-0.00250000
112535,-0.36550000,0.01200000
112536,-0.31600000,0.01800000
112537,-0.25900000,0.02100000
112538,-0.19450000,0.02050000
112539,-0.12800000,0.02050000
112540,-0.05850000,0.02200000
112541,0.01500000,0.02150000
112542,0.08250000,0.01800000
112543,0.15100000,0.01450000
112544,0.21400000,0.01400000
112545,0.27250000,0.01400000
112546,0.32600000,0.01400000
112547,0.37550000,0.01400000
112548,0.41650000,0.01400000
112549,0.45200000,0.01400000
112550,0.48050000,0.01400000
112551,0.50350000,0.01400000
112552,0.51750000,0.01400000
112553,0.52300000,0.01400000
112554,0.52200000,0.01550000
112555,0.51300000,0.02000000
112556,0.49900000,0.02850000
112557,0.47950000,0.03850000
112558,0.45450000,0.04750000
112559,0.42600000,0.06450000
112560,0.39250000,0.07750000
112561,0.35950000,0.07950000
112562,0.32400000,0.06400000
112563,0.28850000,0.03750000
112564,0.25200000,0.01850000
112565,0.21650000,0.01400000
112566,0.18100000,0.01400000
112567,0.14650000,0.01400000
112568,0.11100000,0.01400000
112569,0.07650000,0.01400000
112570,0.04450000,0.01400000
112571,0.01050000,0.01400000
112572,-0.02050000,0.01400000
112573,-0.05150000,0.01400000
112574,-0.08100000,0.01400000
112575,-0.11000000,0.01400000
112576,-0.13750000,0.01400000
112577,-0.16350000,0.01400000
112578,-0.18750000,0.01950000
112579,-0.21150000,0.07350000
112580,-0.23250000,0.22900000
112581,-0.25200000,0.46100000
112582,-0.27000000,0.64800000
112583,-0.28600000,0.69700000
112584,-0.30100000,0.58400000
112585,-0.31450000,0.39000000
112586,-0.32850000,0.23150000
112587,-0.34000000,0.14700000
112588,-0.35150000,0.09750000
112589,-0.36300000,0.05150000
112590,-0.37300000,0.00800000
112591,-0.38450000,-0.02550000
112592,-0.39500000,-0.04550000
112593,-0.40500000,-0.05750000
112594,-0.41550000,-0.06200000
112595,-0.42550000,-0.06300000
112596,-0.43500000,-0.06700000
112597,-0.44400000,-0.07150000
112598,-0.45200000,-0.07300000
112599,-0.46100000,-0.07150000
112600,-0.46800000,-0.07500000
112601,-0.47500000,-0.08250000
112602,-0.48300000,-0.09000000
112603,-0.48750000,-0.09550000
